,equipRef,groupRef,navName,siteRef,typeRef,unit,date,mean,std,max,min,sensorrate
30,AHU-01,Pharmacy Air Systems,Heating Valve Cmd,Pharmacy,AHU1_HCV,%,2020-05-01,15.480742399999999,3.7742742804119653,23.29866,8.015007,15
31,AHU-01,Pharmacy Air Systems,Leaving Chilled Water Temp,Pharmacy,AHU1_2_7_9_CHWST,°C,2020-03-16,150.0,0.0,150.0,150.0,31
32,AHU-01,Pharmacy Air Systems,Leaving Chilled Water Temp,Pharmacy,AHU1_2_7_9_CHWST,°C,2020-05-01,150.0,0.0,150.0,150.0,96
33,AHU-01,Pharmacy Air Systems,Leaving Chilled Water Temp,Pharmacy,AHU1_CHWST,°C,2020-03-16,29.22756,0.0,29.22756,29.22756,1
34,AHU-01,Pharmacy Air Systems,Leaving Hot Water Temp,Pharmacy,AHU1_HWST,°C,2020-03-16,27.69412638888889,1.997156060324556,30.825945,23.767151,36
35,AHU-01,Pharmacy Air Systems,Leaving Hot Water Temp,Pharmacy,AHU1_HWST,°C,2020-05-01,29.06842621839081,1.6755195522193305,32.437344,24.419188,87
36,AHU-01,Pharmacy Air Systems,Zone Humidity,Pharmacy,AHU1_2_AVG_RH,%RH,2020-03-16,43.98990777777778,0.8622735568776548,45.230835,42.81636,9
37,AHU-01,Pharmacy Air Systems,Zone Humidity,Pharmacy,AHU1_2_AVG_RH,%RH,2020-05-01,44.84935737254902,0.960925783369225,46.904507,42.838242,51
38,AHU-01,Pharmacy Air Systems,Zone Relative Humidity Sp,Pharmacy,AHU1_2_AVG_RH_SP,%RH,2020-03-16,45.0,0.0,45.0,45.0,16
39,AHU-01,Pharmacy Air Systems,Zone Relative Humidity Sp,Pharmacy,AHU1_2_AVG_RH_SP,%RH,2020-05-01,45.0,0.0,45.0,45.0,47
40,AHU-01,Pharmacy Air Systems,Zone Temp Effective Sp,Pharmacy,AHU1_AVG_RT_SP,°C,2020-03-16,21.5,0.0,21.5,21.5,16
41,AHU-01,Pharmacy Air Systems,Zone Temp Effective Sp,Pharmacy,AHU1_AVG_RT_SP,°C,2020-05-01,21.5,0.0,21.5,21.5,47
42,AHU-01 SF,Pharmacy Air Systems,AHU1_SF_VFD_PWR(AT)_DAILY_TL,Pharmacy,AHU1_SF_VFD_PWR(AT)_DAILY_TL,_,2020-05-01,8298.541992,0.0,8298.541992,8298.541992,1
43,AHU-01 SF,Pharmacy Air Systems,AHU1_SF_VFD_PWR(AT)_DAILY_TL,Pharmacy,AHU1_SF_VFD_PWR(AT)_DAILY_TL,°C,2020-03-16,4723.26416,0.0,4723.26416,4723.26416,1
44,AHU-01 SF,Pharmacy Air Systems,AHU1_SF_VFD_TSP(Pa),Pharmacy,AHU1_SF_VFD_TSP(Pa),Pa,2020-03-16,648.4375,0.0,648.4375,648.4375,32
45,AHU-01 SF,Pharmacy Air Systems,AHU1_SF_VFD_TSP(Pa),Pharmacy,AHU1_SF_VFD_TSP(Pa),Pa,2020-05-01,761.71875,0.0,761.71875,761.71875,95
46,AHU-01 SF,Pharmacy Air Systems,Discharge Air Flow,Pharmacy,AHU1_SF_VFD_FLOW(L/S),L/s,2020-03-16,3421.8436203437504,16.10299861302127,3447.298584,3393.428467,32
47,AHU-01 SF,Pharmacy Air Systems,Discharge Air Flow,Pharmacy,AHU1_SF_VFD_FLOW(L/S),L/s,2020-05-01,4427.500693873685,17.45416505670669,4472.352539,4390.850586,95
48,AHU-01 SF,Pharmacy Air Systems,Discharge Fan Speed Feedback,Pharmacy,AHU1_SF_VFD_HZ_FB,Hz,2020-03-16,51.42344218749998,0.05533456709020444,51.550003,51.400005,32
49,AHU-01 SF,Pharmacy Air Systems,Discharge Fan Speed Feedback,Pharmacy,AHU1_SF_VFD_HZ_FB,Hz,2020-05-01,53.68331099999987,0.0,53.683311,53.683311,95
50,AHU-01 SF,Pharmacy Air Systems,Discharge Fan Speed Feedback,Pharmacy,AHU1_SPD_FB,%,2020-03-16,48.843436906250005,0.11188594684806376,49.059826,48.601654,32
51,AHU-01 SF,Pharmacy Air Systems,Discharge Fan Speed Feedback,Pharmacy,AHU1_SPD_FB,%,2020-05-01,62.84998736842104,0.26423905885198007,63.533806,62.135029,95
52,AHU-01 SF,Pharmacy Air Systems,Energy,Pharmacy,AHU1_SF_VFD_PWR(kWh),kWh,2020-03-16,4754.9365997187515,5.769006412616648,4764.468262,4745.404297,32
53,AHU-01 SF,Pharmacy Air Systems,Energy,Pharmacy,AHU1_SF_VFD_PWR(kWh),kWh,2020-05-01,8315.942166947369,23.979568097154814,8356.832031,8275.072266,95
54,AHU-01 SF,Pharmacy Air Systems,Power,Pharmacy,AHU1_SF_VFD_INST_PWR(kW),kW,2020-03-16,2.4599999999999995,0.0,2.46,2.46,32
55,AHU-01 SF,Pharmacy Air Systems,Power,Pharmacy,AHU1_SF_VFD_INST_PWR(kW),kW,2020-05-01,3.4791578947368444,0.006789096059708583,3.5,3.47,95
56,AHU-02,Pharmacy Air Systems,AHU2_HCDT,Pharmacy,AHU2_HCDT,°C,2020-03-16,15.68761696153846,1.2794743144042708,17.836687,12.771749,26
57,AHU-02,Pharmacy Air Systems,AHU2_HCDT,Pharmacy,AHU2_HCDT,°C,2020-05-01,19.036089967741937,0.9397762556190518,20.800375,17.756628,31
58,AHU-02,Pharmacy Air Systems,AHU2_MAX_SPD,Pharmacy,AHU2_MAX_SPD,%,2020-03-16,100.0,0.0,100.0,100.0,32
59,AHU-02,Pharmacy Air Systems,AHU2_MAX_SPD,Pharmacy,AHU2_MAX_SPD,%,2020-05-01,100.0,0.0,100.0,100.0,95
60,AHU-02,Pharmacy Air Systems,AHU2_STM_VLV,Pharmacy,AHU2_STM_VLV,%,2020-03-16,53.23572144871796,4.825055971449016,63.372471,42.345398,78
61,AHU-02,Pharmacy Air Systems,AHU2_STM_VLV,Pharmacy,AHU2_STM_VLV,%,2020-05-01,36.66655971084338,5.366575898761936,48.201141,24.41678,83
62,AHU-02,Pharmacy Air Systems,Discharge Air Humidity,Pharmacy,AHU2_SAH,%RH,2020-03-16,68.43844559375,3.1244631011296824,71.755608,59.635437,32
63,AHU-02,Pharmacy Air Systems,Discharge Air Humidity,Pharmacy,AHU2_SAH,%RH,2020-05-01,44.44761532291665,3.225484006228592,49.977047,38.68655,96
64,AHU-02,Pharmacy Air Systems,Discharge Air Humidity Sp,Pharmacy,AHU2_SAH_SP,%,2020-03-16,68.6026103125,2.8123635271631473,70.0,60.651882,16
65,AHU-02,Pharmacy Air Systems,Discharge Air Humidity Sp,Pharmacy,AHU2_SAH_SP,%RH,2020-05-01,4462.689084297874,324.81984529959857,4893.586914,3947.156494,47
66,AHU-02,Pharmacy Air Systems,Discharge Air Max Pressure Sp,Pharmacy,AHU2_HILIM_PRES_SP,Pa,2020-03-16,850.0,0.0,850.0,850.0,16
67,AHU-02,Pharmacy Air Systems,Discharge Air Max Pressure Sp,Pharmacy,AHU2_HILIM_PRES_SP,Pa,2020-05-01,850.0,0.0,850.0,850.0,47
68,AHU-02,Pharmacy Air Systems,Discharge Air Pressure Sp,Pharmacy,AHU2_PRES_SP,Pa,2020-03-16,400.0,0.0,400.0,400.0,32
69,AHU-02,Pharmacy Air Systems,Discharge Air Pressure Sp,Pharmacy,AHU2_PRES_SP,Pa,2020-05-01,400.0,0.0,400.0,400.0,95
70,AHU-02,Pharmacy Air Systems,Discharge Air Temp,Pharmacy,AHU2_SAT,°C,2020-03-16,18.846237875,0.5362011668822062,19.351921,18.340607,8
71,AHU-02,Pharmacy Air Systems,Discharge Air Temp,Pharmacy,AHU2_SAT,°C,2020-05-01,20.36463524,1.000724223402161,22.299545,19.27289,25
72,AHU-02,Pharmacy Air Systems,Discharge Air Temp Sp,Pharmacy,AHU2_SAT_SP,°C,2020-03-16,18.980466874999998,0.3075387753191175,19.788231,18.619982,16
73,AHU-02,Pharmacy Air Systems,Discharge Air Temp Sp,Pharmacy,AHU2_SAT_SP,°C,2020-05-01,20.50642627659574,0.7497058106424059,21.422947,19.735863,47
74,AHU-02,Pharmacy Air Systems,Entering Hot Water Temp,Pharmacy,AHU2_HWRT,°C,2020-03-16,13.83176288,2.0861953329245337,18.942234,9.884437,50
75,AHU-02,Pharmacy Air Systems,Entering Hot Water Temp,Pharmacy,AHU2_HWRT,°C,2020-05-01,19.207391153846153,1.648839839216528,22.193718,16.070829,52
76,AHU-02,Pharmacy Air Systems,Heating Valve Cmd,Pharmacy,AHU2_HCV,%,2020-03-16,13.615511090909092,4.173568216387279,21.460335,6.205368,11
77,AHU-02,Pharmacy Air Systems,Heating Valve Cmd,Pharmacy,AHU2_HCV,%,2020-05-01,16.545302555555555,5.03883910786845,23.278206,9.763695,9
78,AHU-02,Pharmacy Air Systems,Leaving Hot Water Temp,Pharmacy,AHU2_HWST,°C,2020-03-16,26.79692733333333,2.5080127460088244,30.49794,21.399326,45
79,AHU-02,Pharmacy Air Systems,Leaving Hot Water Temp,Pharmacy,AHU2_HWST,°C,2020-05-01,28.961187606741564,1.6801412194439969,31.944881,24.873344,89
80,AHU-02,Pharmacy Air Systems,Zone Humidity,Pharmacy,AHU2_AVG_RH,%RH,2020-03-16,43.98990777777778,0.8622735568776548,45.230835,42.81636,9
81,AHU-02,Pharmacy Air Systems,Zone Humidity,Pharmacy,AHU2_AVG_RH,%RH,2020-05-01,44.84935737254902,0.960925783369225,46.904507,42.838242,51
82,AHU-02,Pharmacy Air Systems,Zone Relative Humidity Sp,Pharmacy,AHU2_AVG_RH_SP,%RH,2020-03-16,45.0,0.0,45.0,45.0,16
83,AHU-02,Pharmacy Air Systems,Zone Relative Humidity Sp,Pharmacy,AHU2_AVG_RH_SP,%RH,2020-05-01,45.0,0.0,45.0,45.0,47
84,AHU-02,Pharmacy Air Systems,Zone Temp Effective Sp,Pharmacy,AHU2_AVG_RT_SP,°C,2020-03-16,21.5,0.0,21.5,21.5,16
85,AHU-02,Pharmacy Air Systems,Zone Temp Effective Sp,Pharmacy,AHU2_AVG_RT_SP,°C,2020-05-01,21.5,0.0,21.5,21.5,47
86,AHU-02 SF,Pharmacy Air Systems,AHU2_SF_VFD_PWR(AT)_DAILY_TL,Pharmacy,AHU2_SF_VFD_PWR(AT)_DAILY_TL,_,2020-05-01,7408.237793,0.0,7408.237793,7408.237793,1
87,AHU-02 SF,Pharmacy Air Systems,AHU2_SF_VFD_PWR(AT)_DAILY_TL,Pharmacy,AHU2_SF_VFD_PWR(AT)_DAILY_TL,°C,2020-03-16,3636.078857,0.0,3636.078857,3636.078857,1
88,AHU-02 SF,Pharmacy Air Systems,AHU2_SF_VFD_TSP(Pa),Pharmacy,AHU2_SF_VFD_TSP(Pa),Pa,2020-03-16,636.09375,0.0,636.09375,636.09375,32
89,AHU-02 SF,Pharmacy Air Systems,AHU2_SF_VFD_TSP(Pa),Pharmacy,AHU2_SF_VFD_TSP(Pa),Pa,2020-05-01,809.53125,0.0,809.53125,809.53125,95
90,AHU-02 SF,Pharmacy Air Systems,Discharge Air Flow,Pharmacy,AHU2_SF_VFD_FLOW(L/S),L/s,2020-03-16,3148.9809341874998,21.19707381609961,3223.187012,3118.060059,32
91,AHU-02 SF,Pharmacy Air Systems,Discharge Air Flow,Pharmacy,AHU2_SF_VFD_FLOW(L/S),L/s,2020-05-01,4445.424542600001,11.211211652514983,4469.259277,4417.243164,95
92,AHU-02 SF,Pharmacy Air Systems,Discharge Fan Speed Feedback,Pharmacy,AHU2_SF_VFD_HZ_FB,Hz,2020-03-16,49.31666199999997,0.0,49.316662,49.316662,32
93,AHU-02 SF,Pharmacy Air Systems,Discharge Fan Speed Feedback,Pharmacy,AHU2_SF_VFD_HZ_FB,Hz,2020-05-01,53.89998199999994,0.0,53.899982,53.899982,95
94,AHU-02 SF,Pharmacy Air Systems,Discharge Fan Speed Feedback,Pharmacy,AHU2_SPD_FB,%,2020-03-16,52.57704165625,0.18360727461827062,53.023476,52.281013,32
95,AHU-02 SF,Pharmacy Air Systems,Discharge Fan Speed Feedback,Pharmacy,AHU2_SPD_FB,%,2020-05-01,66.65645089473682,0.10285438880627443,66.890312,66.449127,95
96,AHU-02 SF,Pharmacy Air Systems,Energy,Pharmacy,AHU2_SF_VFD_PWR(kWh),kWh,2020-03-16,3664.7898942187503,5.2296506328662735,3673.430664,3656.148926,32
97,AHU-02 SF,Pharmacy Air Systems,Energy,Pharmacy,AHU2_SF_VFD_PWR(kWh),kWh,2020-05-01,7426.087813536842,24.603809767428913,7468.03418,7384.141602,95
98,AHU-02 SF,Pharmacy Air Systems,Power,Pharmacy,AHU2_SF_VFD_INST_PWR(kW),kW,2020-03-16,2.229999999999999,0.0,2.23,2.23,32
99,AHU-02 SF,Pharmacy Air Systems,Power,Pharmacy,AHU2_SF_VFD_INST_PWR(kW),kW,2020-05-01,3.5699999999999945,0.0,3.57,3.57,95
100,AHU-03,Pharmacy Air Systems,AHU3_HCDT,Pharmacy,AHU3_HCDT,°C,2020-03-16,15.517223999999999,0.7085195805353579,16.018223,15.016225,2
101,AHU-03,Pharmacy Air Systems,AHU3_HCDT,Pharmacy,AHU3_HCDT,°C,2020-05-01,18.184180333333334,0.7539789487463608,19.018848,17.015642,6
102,AHU-03,Pharmacy Air Systems,AHU3_STM_VLV,Pharmacy,AHU3_STM_VLV,%,2020-03-16,83.09406587272727,10.056380869926272,98.577194,62.83136,55
103,AHU-03,Pharmacy Air Systems,AHU3_STM_VLV,Pharmacy,AHU3_STM_VLV,%,2020-05-01,55.9668261,3.9883172381093637,64.149399,47.263973,30
104,AHU-03,Pharmacy Air Systems,Discharge Air Humidity,Pharmacy,AHU3_SAH,%RH,2020-03-16,47.7158328,2.7411786774256797,50.719414,45.713303,5
105,AHU-03,Pharmacy Air Systems,Discharge Air Humidity,Pharmacy,AHU3_SAH,%RH,2020-05-01,43.6658805,3.5401435350392907,46.16914,41.162621,2
106,AHU-03,Pharmacy Air Systems,Discharge Air Humidity Sp,Pharmacy,AHU3_SAH_SP,%RH,2020-03-16,46.0330814375,1.5692622926317525,49.189777,42.473694,16
107,AHU-03,Pharmacy Air Systems,Discharge Air Humidity Sp,Pharmacy,AHU3_SAH_SP,%RH,2020-05-01,41.136026999999984,2.245490856501327,45.07193,37.403812,47
108,AHU-03,Pharmacy Air Systems,Discharge Air Max Pressure Sp,Pharmacy,AHU3_HILIM_PRES_SP,Pa,2020-03-16,850.0,0.0,850.0,850.0,16
109,AHU-03,Pharmacy Air Systems,Discharge Air Max Pressure Sp,Pharmacy,AHU3_HILIM_PRES_SP,Pa,2020-05-01,850.0,0.0,850.0,850.0,47
110,AHU-03,Pharmacy Air Systems,Discharge Air Pressure Sp,Pharmacy,AHU3_PRES_SP,Pa,2020-03-16,400.0,0.0,400.0,400.0,16
111,AHU-03,Pharmacy Air Systems,Discharge Air Pressure Sp,Pharmacy,AHU3_PRES_SP,Pa,2020-05-01,400.0,0.0,400.0,400.0,47
112,AHU-03,Pharmacy Air Systems,Discharge Air Temp,Pharmacy,AHU3_SAT,°C,2020-03-16,19.898950499999998,0.7085061455065159,20.39994,19.397961,2
113,AHU-03,Pharmacy Air Systems,Discharge Air Temp,Pharmacy,AHU3_SAT,°C,2020-05-01,20.904524000000002,0.7084446272165549,21.40547,20.403578,2
114,AHU-03,Pharmacy Air Systems,Discharge Air Temp Sp,Pharmacy,AHU3_SAT_SP,°C,2020-03-16,18.991103937499997,0.4787563509000475,19.678673,18.678576,16
115,AHU-03,Pharmacy Air Systems,Discharge Air Temp Sp,Pharmacy,AHU3_SAT_SP,°C,2020-05-01,20.779511191489345,0.5448585256401189,21.43387,20.335482,47
116,AHU-03,Pharmacy Air Systems,Entering Hot Water Temp,Pharmacy,AHU3_HWRT,°C,2020-03-16,16.779949500000004,2.047848732234065,20.20458,13.116554,16
117,AHU-03,Pharmacy Air Systems,Entering Hot Water Temp,Pharmacy,AHU3_HWRT,°C,2020-05-01,18.366153379310344,1.6413196798847003,21.277147,15.250901,29
118,AHU-03,Pharmacy Air Systems,Heating Valve Cmd,Pharmacy,AHU3_HCV,%,2020-03-16,16.088778333333334,6.6767727074099446,23.228821,10.0,3
119,AHU-03,Pharmacy Air Systems,Heating Valve Cmd,Pharmacy,AHU3_HCV,%,2020-05-01,12.00914,3.403755035060543,15.681351,9.103973,4
120,AHU-03,Pharmacy Air Systems,Leaving Hot Water Temp,Pharmacy,AHU3_HWST,°C,2020-03-16,29.748303320000005,0.7366605778679948,30.791271,28.781849,25
121,AHU-03,Pharmacy Air Systems,Leaving Hot Water Temp,Pharmacy,AHU3_HWST,°C,2020-05-01,29.435555632911406,1.4794490877778705,31.786736,25.775433,79
122,AHU-03,Pharmacy Air Systems,Zone Humidity,Pharmacy,AHU3_4_AVG_RH,%RH,2020-03-16,44.6143116875,1.040260261212083,46.522297,42.736477,16
123,AHU-03,Pharmacy Air Systems,Zone Humidity,Pharmacy,AHU3_4_AVG_RH,%RH,2020-05-01,45.01652271134023,1.172988939280715,47.668411,42.886517,97
124,AHU-03,Pharmacy Air Systems,Zone Relative Humidity Sp,Pharmacy,AHU3_4_AVG_RH_SP,%RH,2020-03-16,45.0,0.0,45.0,45.0,16
125,AHU-03,Pharmacy Air Systems,Zone Relative Humidity Sp,Pharmacy,AHU3_4_AVG_RH_SP,%RH,2020-05-01,45.0,0.0,45.0,45.0,47
126,AHU-03,Pharmacy Air Systems,Zone Temp Effective Sp,Pharmacy,AHU3_AVG_RT_SP,°C,2020-03-16,21.5,0.0,21.5,21.5,16
127,AHU-03,Pharmacy Air Systems,Zone Temp Effective Sp,Pharmacy,AHU3_AVG_RT_SP,°C,2020-05-01,21.5,0.0,21.5,21.5,47
128,AHU-03 SF,Pharmacy Air Systems,AHU3_SF_VFD_PWR(AT)_DAILY_TL,Pharmacy,AHU3_SF_VFD_PWR(AT)_DAILY_TL,Pa,2020-03-16,21660.875,0.0,21660.875,21660.875,1
129,AHU-03 SF,Pharmacy Air Systems,AHU3_SF_VFD_PWR(AT)_DAILY_TL,Pharmacy,AHU3_SF_VFD_PWR(AT)_DAILY_TL,_,2020-05-01,32260.773438,0.0,32260.773438,32260.773438,1
130,AHU-03 SF,Pharmacy Air Systems,AHU3_SF_VFD_TSP(Pa),Pharmacy,AHU3_SF_VFD_TSP(Pa),Pa,2020-03-16,1216.2109375,4.5217718281255594,1224.062622,1209.84375,32
131,AHU-03 SF,Pharmacy Air Systems,AHU3_SF_VFD_TSP(Pa),Pharmacy,AHU3_SF_VFD_TSP(Pa),Pa,2020-05-01,994.4243491684209,4.64303612001933,1003.4375,970.625,95
132,AHU-03 SF,Pharmacy Air Systems,Discharge Air Flow,Pharmacy,AHU3_SF_VFD_FLOW(L/S),L/s,2020-03-16,7099.097152718751,16.179118966693363,7126.733398,7057.416992,32
133,AHU-03 SF,Pharmacy Air Systems,Discharge Air Flow,Pharmacy,AHU3_SF_VFD_FLOW(L/S),L/s,2020-05-01,5813.992372536841,11.92278888209734,5835.109375,5787.307129,95
134,AHU-03 SF,Pharmacy Air Systems,Discharge Fan Speed Feedback,Pharmacy,AHU3_SF_VFD_HZ_FB,Hz,2020-03-16,75.35031099999999,0.0,75.350311,75.350311,32
135,AHU-03 SF,Pharmacy Air Systems,Discharge Fan Speed Feedback,Pharmacy,AHU3_SF_VFD_HZ_FB,Hz,2020-05-01,65.29799661052633,0.0672111549102275,65.400108,65.150093,95
136,AHU-03 SF,Pharmacy Air Systems,Energy,Pharmacy,AHU3_SF_VFD_PWR(kWh),kWh,2020-03-16,21825.177307124995,30.010592919269477,21874.703125,21775.548828,32
137,AHU-03 SF,Pharmacy Air Systems,Energy,Pharmacy,AHU3_SF_VFD_PWR(kWh),kWh,2020-05-01,32305.3723889684,61.53926948027888,32410.511719,32200.589844,95
138,AHU-03 SF,Pharmacy Air Systems,Power,Pharmacy,AHU3_SF_VFD_INST_PWR(kW),kW,2020-03-16,12.814062656249998,0.12505090246017353,13.059999,12.58,32
139,AHU-03 SF,Pharmacy Air Systems,Power,Pharmacy,AHU3_SF_VFD_INST_PWR(kW),kW,2020-05-01,8.933263263157906,0.051641997568614664,9.030001,8.81,95
140,AHU-04,Pharmacy Air Systems,AHU4_HCDT,Pharmacy,AHU4_HCDT,°C,2020-03-16,14.679594000000002,0.8197514741607168,15.683379,13.675412,4
141,AHU-04,Pharmacy Air Systems,AHU4_HCDT,Pharmacy,AHU4_HCDT,°C,2020-05-01,16.79601166666667,0.7834034304714906,17.686584,15.681046,9
142,AHU-04,Pharmacy Air Systems,AHU4_PRES(MUX),Pharmacy,AHU4_PRES(MUX),Pa,2020-03-16,399.98590700000005,3.42602358421009,406.557343,396.376709,10
143,AHU-04,Pharmacy Air Systems,AHU4_PRES(MUX),Pharmacy,AHU4_PRES(MUX),Pa,2020-05-01,399.55127955555554,3.354605026948106,405.667419,395.613586,9
144,AHU-04,Pharmacy Air Systems,AHU4_STM_VLV,Pharmacy,AHU4_STM_VLV,%,2020-03-16,89.44988,5.089026239791942,94.550034,84.372055,3
145,AHU-04,Pharmacy Air Systems,AHU4_STM_VLV,Pharmacy,AHU4_STM_VLV,%,2020-05-01,54.63926763846155,3.83544810600814,63.43576,44.970409,390
146,AHU-04,Pharmacy Air Systems,Discharge Air Humidity,Pharmacy,AHU4_SAH,%RH,2020-03-16,35.60856733333333,5.010561957418483,40.61734,30.596218,3
147,AHU-04,Pharmacy Air Systems,Discharge Air Humidity,Pharmacy,AHU4_SAH,%RH,2020-05-01,42.21332740909091,2.56605970669772,44.75856,39.652943,22
148,AHU-04,Pharmacy Air Systems,Discharge Air Humidity Sp,Pharmacy,AHU4_SAH_SP,%,2020-03-16,46.0330814375,1.5692622926317525,49.189777,42.473694,16
149,AHU-04,Pharmacy Air Systems,Discharge Air Humidity Sp,Pharmacy,AHU4_SAH_SP,%RH,2020-05-01,4113.602700085106,224.54909100294714,4507.192871,3740.381348,47
150,AHU-04,Pharmacy Air Systems,Discharge Air Max Pressure Sp,Pharmacy,AHU4_HILIM_PRES_SP,Pa,2020-03-16,850.0,0.0,850.0,850.0,16
151,AHU-04,Pharmacy Air Systems,Discharge Air Max Pressure Sp,Pharmacy,AHU4_HILIM_PRES_SP,Pa,2020-05-01,850.0,0.0,850.0,850.0,47
