id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,cmd,co2,command,connRef,cooling,count,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,domestic,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,heat,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,linked,load,low,mixed,mixing,mode,navName,noMatch,noTagMatch,objectId,occ,occupancyIndicator,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,primaryLoop,pump,quantityID,reliability,return,reversing,roomRef,run,runtime,scheduleOcc,secondaryLoop,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,subEquipRef,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,waterMeterLoad,wifi,wifiId,zachName,zone,zones,mod
@p:ubcv:r:25fb83ae-d5f6862e Friedman Unsorted Points JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AV-10310,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3011430,"","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AV-10310,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2375fcb1-58927a21 Friedman Unsorted Points,"","","",@p:ubcv:r:2375fcb1-c8fbbcba Friedman Unsorted Points,"","",✓,"","","",2020-05-12T13:00:09-07:00 Los_Angeles,"","","",112,2020-03-10T15:48:04-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.298-07:00 Los_Angeles,"","","","","","","","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AV-10310,"",✓,AV3011390,"","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","","","","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AV-10310.Trend1,Los_Angeles,°C,"","","","","","","",Return air temperature set point 0103,"","",2020-04-09T19:02:03.996Z UTC
@p:ubcv:r:220b975e-45006acc Friedman Rm 354 VAV 3-3-05 JCL-NAE24/FCB-01.VMA-041.SAFLOW-SP,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3010541,"",✓,JCL-NAE24/FCB-01.VMA-041.SAFLOW-SP,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce5-9af43b79 Friedman Rm 354 VAV 3-3-05,"","",✓,@p:ubcv:r:216983ab-5fb4d891 Friedman Floor 3,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82364,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.817-07:00 Los_Angeles,2019-04-11T16:04:13.952-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow Sp,"","",AV3008117,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce5-972ced2d Friedman Rm 354,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","",JCL-NAE24/FCB-01.VMA-041.SAFLOW-SP.Trend1,Los_Angeles,L/s,"","","","","","","",5252.AHU-03.VAV-3-05.SAFLOW-SP,"","",2020-04-09T19:02:03.997Z UTC
@p:ubcv:r:220b975f-71217bfd Friedman HX-03 P03a JCL-NAE24/FCB-01.FEC-005.P03a-S,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008551,"",✓,JCL-NAE24/FCB-01.FEC-005.P03a-S,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","","Off,On",P03a,@p:ubcv:r:22a09c4b-f4c67d0a Friedman HX-03,"","","",@p:ubcv:r:220b84f4-c538794f Friedman Hydronic Systems,"","",✓,"","","",2020-05-01T07:38:23-07:00 Los_Angeles,"","","",1404,2017-11-23T07:32:41-08:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T14:43:38.268-07:00 Los_Angeles,2018-12-07T09:45:30.537-08:00 Los_Angeles,"","","","","","","",Run Status,"","",BI3007699,"","","","","","","",✓,"","","","",✓,"","","","","",✓,"","",✓,✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:2549f4de-0619d1f0 .+(\.|-| )P(CHWP)?E?\d+\w?-S,"","",JCL-NAE24/FCB-01.FEC-005.P03a-S.Trend1,Los_Angeles,"","","","","","","","",5252.PHW.P03a-S,"","",2020-05-12T11:03:27.68Z UTC
@p:ubcv:r:220b975e-fe6d26d1 Friedman Rm 411 VAV 1-4-01 JCL-NAE24/FCB-01.VMA-049.SAFLOW-SP,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009635,"",✓,JCL-NAE24/FCB-01.VMA-049.SAFLOW-SP,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-167d172e Friedman Rm 411 VAV 1-4-01,"","",✓,@p:ubcv:r:220b8ce4-f3738769 Friedman Floor 4,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82391,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.819-07:00 Los_Angeles,2019-04-11T16:04:13.605-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow Sp,"","",AV3007942,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-2add2245 Friedman Rm 411,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","",JCL-NAE24/FCB-01.VMA-049.SAFLOW-SP.Trend1,Los_Angeles,L/s,"","","","","","","",5232.AHU-01.VAV-4-01.SAFLOW-SP,"","",2020-04-09T19:02:03.998Z UTC
@p:ubcv:r:2549e376-40a10d92 Friedman AHU-02 JCL-NAE24/FCB-01.FEC-007.LT-A,"","",✓,"",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008315,"",✓,JCL-NAE24/FCB-01.FEC-007.LT-A,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Normal,Alarm","",@p:ubcv:r:20952271-c792cabf Friedman AHU-02,"","","",@p:ubcv:r:2203b248-8734d49f Friedman Air Systems,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",27970,2019-10-28T02:40:00-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:43:38.821-07:00 Los_Angeles,"","",✓,"",✓,"","","",Low Temp Alarm,"","",BI3007634,"","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:24f02881-3b6e10f7 .+(\.|-| |_)LT-A(LM)?,"",✓,JCL-NAE24/FCB-01.FEC-007.LT-A.Trend1,Los_Angeles,"","","","","","","","",5252.AHU-02.LT-A,"","",2020-04-08T18:50:01.344Z UTC
@p:ubcv:r:220b975e-72f5b30f Friedman Rm 455 VAV 3-4-06 JCL-NAE24/FCB-01.VMA-054.DPR-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3010834,"",✓,JCL-NAE24/FCB-01.VMA-054.DPR-O,"",✓,"",✓,@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce5-c55c38bb Friedman Rm 455 VAV 3-4-06,"","","",@p:ubcv:r:220b8ce4-f3738769 Friedman Floor 4,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82298,2018-02-06T00:00:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.823-07:00 Los_Angeles,2019-04-11T16:04:13.488-07:00 Los_Angeles,"","","","","","","",Discharge Air Damper Cmd,"","",AO3008158,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce5-bbd4ab0d Friedman Rm 455,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE24/FCB-01.VMA-054.DPR-O.Trend1,Los_Angeles,%,"","","","","","","","","","",2020-04-14T16:50:00.198Z UTC
@p:ubcv:r:25a64ae7-0902f035 Friedman Unsorted Points JCL-NAE25/BACnet IP interface.Mitsubishi VRF interface.AI-10809,"","","","",@p:ubcv:r:25a649b9-9d397779 MEDB (NAE-25),"",TL3000074,"","",JCL-NAE25/BACnet IP interface.Mitsubishi VRF interface.AI-10809,"","","","",@p:ubcv:r:25a649b9-9d397779 MEDB (NAE-25),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2375fcb1-58927a21 Friedman Unsorted Points,"","","",@p:ubcv:r:2375fcb1-c8fbbcba Friedman Unsorted Points,"","",✓,"","","",2020-04-06T08:30:00-07:00 Los_Angeles,conn fault,"","",8674,2020-01-06T00:00:00-08:00 Los_Angeles,fault,"","",✓,"",Number,2020-05-05T16:00:05.773-07:00 Los_Angeles,"","","","","","","","",JCL-NAE25/BACnet IP interface.Mitsubishi VRF interface.AI-10809,"",✓,AI3000034,"","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","","","","",JCL-NAE25/BACnet IP interface.Mitsubishi VRF interface.AI-10809.Trend1,Los_Angeles,°C,"","","","","","","",Return air temperature 0108,"","",2020-04-09T19:02:04.155Z UTC
@p:ubcv:r:220b975e-7b003f48 Friedman Rm 411 VAV 1-4-01 JCL-NAE24/FCB-01.VMA-049.DPR-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009633,"",✓,JCL-NAE24/FCB-01.VMA-049.DPR-O,"",✓,"",✓,@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-167d172e Friedman Rm 411 VAV 1-4-01,"","","",@p:ubcv:r:220b8ce4-f3738769 Friedman Floor 4,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82260,2018-02-06T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.826-07:00 Los_Angeles,2019-04-11T16:04:14.039-07:00 Los_Angeles,"","","","","","","",Discharge Air Damper Cmd,"","",AO3007940,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-2add2245 Friedman Rm 411,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE24/FCB-01.VMA-049.DPR-O.Trend1,Los_Angeles,%,"","","","","","","","","","",2020-04-14T16:50:02.877Z UTC
@p:ubcv:r:20dc2801-7b7bd861 Friedman Rm other Zone $bmsName,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3004020,"",✓,"","",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","",✓,"","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:20dc2801-354a184a Friedman Rm other Zone,"","","",@p:ubcv:r:216983ab-5fb4d891 Friedman Floor 3,"","",✓,"","","",2019-08-26T11:30:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [50] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",75526,2017-06-20T00:00:00-07:00 Los_Angeles,fault,"","","","",Number,2020-05-12T01:13:13.247-07:00 Los_Angeles,2018-05-09T10:55:46.747-07:00 Los_Angeles,"","","","","","","",Damper Position South,"","",AO3004019,"","","","","","","",✓,"","","","","","","","","","","","","","","",toFix,@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","","","","","",Los_Angeles,_,"","","","","","","","","","",2020-04-09T19:15:06.095Z UTC
@p:ubcv:r:20dc2801-b5663c18 Friedman Rm 304 VAV 1-3-02 JCL-NAE24/FCB-01.VMA-035.ZN-T,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009245,"",✓,JCL-NAE24/FCB-01.VMA-035.ZN-T,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:220b8ce4-d4237cd2 Friedman Rm 304 VAV 1-3-02,"","","",@p:ubcv:r:216983ab-5fb4d891 Friedman Floor 3,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",103885,2017-06-20T00:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.828-07:00 Los_Angeles,2018-12-07T09:45:30.514-08:00 Los_Angeles,"","","","","","","",Zone Temp,"","",AI3007850,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-e613ec74 Friedman Rm 304,"","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE24/FCB-01.VMA-035.ZN-T.Trend1,Los_Angeles,°C,"","","","","","","",5232.AHU-01.VAV-3-02.ZN-T,✓,"",2020-04-09T19:02:04.002Z UTC
@p:ubcv:r:24edab6a-98b7da2a Friedman Unsorted Points JCL-NAE24/Schedule.Exhaust Fan Schedule,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),SCH3005099,"","",✓,JCL-NAE24/Schedule.Exhaust Fan Schedule,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","",unknown,"","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2375fcb1-58927a21 Friedman Unsorted Points,"","","",@p:ubcv:r:2375fcb1-c8fbbcba Friedman Unsorted Points,"","",✓,"","","",2019-08-21T08:45:00-07:00 Los_Angeles,"","","",182,2019-08-19T12:26:00-07:00 Los_Angeles,"","","",✓,"",Number,"","","","","","","","","",Scheduled Occupancy,"","","","","","","","","","",✓,"","","","","","","","","","","","",✓,"","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","","","","","",Los_Angeles,"","","","","","","","","","","",2020-03-11T11:10:41.205Z UTC
@p:ubcv:r:220b975e-49723541 Friedman Rm 323 VAV 1-3-03 JCL-NAE24/FCB-01.VMA-037.ZN-T,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009535,"",✓,JCL-NAE24/FCB-01.VMA-037.ZN-T,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:220b8ce4-5aa09c9c Friedman Rm 323 VAV 1-3-03,"","","",@p:ubcv:r:216983ab-5fb4d891 Friedman Floor 3,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82414,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.83-07:00 Los_Angeles,2018-12-07T09:45:30.57-08:00 Los_Angeles,"","","","","","","",Zone Temp,"","",AI3007919,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-f12c1229 Friedman Rm 323,"","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE24/FCB-01.VMA-037.ZN-T.Trend1,Los_Angeles,°C,"","","","","","","",5232.AHU-01.VAV-3-03.ZN-T,✓,"",2020-04-09T19:02:04.003Z UTC
@p:ubcv:r:220b975d-d179c07e Friedman Rm 151 VAV 3-1-01 JCL-NAE24/FCB-01.VMA-017.SAFLOW-SP,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009048,"",✓,JCL-NAE24/FCB-01.VMA-017.SAFLOW-SP,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-f4c3278f Friedman Rm 151 VAV 3-1-01,"","",✓,@p:ubcv:r:220b8ce4-f325dbc7 Friedman Floor 1,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82408,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.832-07:00 Los_Angeles,2019-04-11T16:04:13.472-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow Sp,"","",AV3007812,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-1c6cd08f Friedman Rm 151,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","",JCL-NAE24/FCB-01.VMA-017.SAFLOW-SP.Trend1,Los_Angeles,L/s,"","","","","","","",5232.AHU-03.VAV-1-01.SAFLOW-SP,"","",2020-04-09T19:02:04.004Z UTC
@p:ubcv:r:25fb83ae-9f9c1fb8 Friedman Unsorted Points JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AI-10109,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3011423,"","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AI-10109,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2375fcb1-58927a21 Friedman Unsorted Points,"","","",@p:ubcv:r:2375fcb1-c8fbbcba Friedman Unsorted Points,"","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",5963,2020-03-10T16:15:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.339-07:00 Los_Angeles,"","","","","","","","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AI-10109,"",✓,AI3011383,"","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","","","","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AI-10109.Trend1,Los_Angeles,°C,"","","","","","","",Return air temperature 0101,"","",2020-04-09T19:02:04.005Z UTC
@p:ubcv:r:220b975d-239b25bd Friedman Rm 134 VAV 1-1-04 JCL-NAE24/FCB-01.VMA-014.DPR-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008717,"",✓,JCL-NAE24/FCB-01.VMA-014.DPR-O,"",✓,"",✓,@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-d6c65306 Friedman Rm 134 VAV 1-1-04,"","","",@p:ubcv:r:220b8ce4-f325dbc7 Friedman Floor 1,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82421,2018-02-06T00:00:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.834-07:00 Los_Angeles,2019-04-11T16:04:13.938-07:00 Los_Angeles,"","","","","","","",Discharge Air Damper Cmd,"","",AO3007743,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-b68f7926 Friedman Rm 134,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE24/FCB-01.VMA-014.DPR-O.Trend1,Los_Angeles,%,"","","","","","","","","","",2020-04-14T16:50:02.618Z UTC
@p:ubcv:r:25fb83ae-7b5f8f21 Friedman Unsorted Points JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AI-10609,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3011427,"","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AI-10609,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2375fcb1-58927a21 Friedman Unsorted Points,"","","",@p:ubcv:r:2375fcb1-c8fbbcba Friedman Unsorted Points,"","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",5963,2020-03-10T16:15:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.342-07:00 Los_Angeles,"","","","","","","","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AI-10609,"",✓,AI3011387,"","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","","","","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AI-10609.Trend1,Los_Angeles,°C,"","","","","","","",Return air temperature 0106,"","",2020-04-09T19:02:04.007Z UTC
@p:ubcv:r:220b975e-975f632a Friedman Rm 244 VAV 3-2-03 JCL-NAE24/FCB-01.VMA-027.HTG-O,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3010110,"",✓,JCL-NAE24/FCB-01.VMA-027.HTG-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:220b8ce4-2dc10fb4 Friedman Rm 244 VAV 3-2-03,"","","",@p:ubcv:r:2169839d-8ceda28a Friedman Floor 2,✓,✓,✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",81236,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"",✓,✓,✓,Number,2020-05-12T14:43:38.839-07:00 Los_Angeles,2018-12-07T09:45:30.435-08:00 Los_Angeles,"","","","","","","",Heating Valve Cmd,"","",AO3008025,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-61673a51 Friedman Rm 244,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE24/FCB-01.VMA-027.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,@p:ubcv:r:2094e280-f218ba9d Friedman HW Main Meter,"","","","","",2020-04-14T16:50:00.466Z UTC
@p:ubcv:r:220b975e-eedd8a83 Friedman Rm 243 VAV 3-2-02 JCL-NAE24/FCB-01.VMA-026.DPR-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3010069,"",✓,JCL-NAE24/FCB-01.VMA-026.DPR-O,"",✓,"",✓,@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-56bd83f4 Friedman Rm 243 VAV 3-2-02,"","","",@p:ubcv:r:2169839d-8ceda28a Friedman Floor 2,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82397,2018-02-06T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.848-07:00 Los_Angeles,2019-04-11T16:04:13.49-07:00 Los_Angeles,"","","","","","","",Discharge Air Damper Cmd,"","",AO3008020,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-ad37f61e Friedman Rm 243,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE24/FCB-01.VMA-026.DPR-O.Trend1,Los_Angeles,%,"","","","","","","","","","",2020-04-14T16:50:00.209Z UTC
@p:ubcv:r:220b975e-2553f725 Friedman Rm 404a VAV 1-4-07 JCL-NAE24/FCB-01.VMA-048.DPR-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009985,"",✓,JCL-NAE24/FCB-01.VMA-048.DPR-O,"",✓,"",✓,@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-3298571f Friedman Rm 404a VAV 1-4-07,"","","",@p:ubcv:r:220b8ce4-f3738769 Friedman Floor 4,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82437,2018-02-06T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.85-07:00 Los_Angeles,2019-04-11T16:04:13.596-07:00 Los_Angeles,"","","","","","","",Discharge Air Damper Cmd,"","",AO3008004,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-81fe7193 Friedman Rm 404a,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE24/FCB-01.VMA-048.DPR-O.Trend1,Los_Angeles,%,"","","","","","","","","","",2020-04-14T16:50:00.73Z UTC
@p:ubcv:r:220b975e-beaa4a46 Friedman Rm 222 VAV 1-2-02 JCL-NAE24/FCB-01.VMA-023.SA-F,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009396,"",✓,JCL-NAE24/FCB-01.VMA-023.SA-F,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-0838aad0 Friedman Rm 222 VAV 1-2-02,"","",✓,@p:ubcv:r:2169839d-8ceda28a Friedman Floor 2,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82497,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.852-07:00 Los_Angeles,2019-04-11T16:04:14.063-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow,"","",AV3007889,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-e44c0994 Friedman Rm 222,"","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE24/FCB-01.VMA-023.SA-F.Trend1,Los_Angeles,L/s,"","","","","","","",5232.AHU-01.VAV-2-02.SA-F,"","",2020-04-09T19:02:04.011Z UTC
