id,air,ancillaryImport,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,cmd,co2,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,flow,gas,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,mixed,mode,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,primaryLoop,ptTest,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d4f597-ccf9f8af Ponderosa North Unsorted Points POND2_VAV_328_RT_SP,✓,"",@p:ubcv:r:23d4e563-241b430e PONDN POND2_AHU2_VAV_328_RM3046_47_48 (730328),"",TL2,✓,POND2_VAV_328_RT_SP,"","","",@p:ubcv:r:23d4e563-241b430e PONDN POND2_AHU2_VAV_328_RM3046_47_48 (730328),"","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:41:55-07:00 Los_Angeles,"","","",69008,2019-01-17T03:40:46-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:03.484-07:00 Los_Angeles,2019-01-23T16:53:11.503-08:00 Los_Angeles,"","","",Zone Temp Effective Sp,"",AV6,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"",✓,"","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,✓,"",POND2_VAV_328_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:38.498Z UTC
@p:ubcv:r:23d4ed47-711c673f Ponderosa North Unsorted Points POND2_FC114_MODE,"","",@p:ubcv:r:23d4dde8-bcf5c088 PONDN POND2_FC114_RM1008 (730114),"",TL9,✓,POND2_FC114_MODE,"","","",@p:ubcv:r:23d4dde8-bcf5c088 PONDN POND2_FC114_RM1008 (730114),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OCCUPIED,OS,NSB_HTG,OVR,DAYSB_ON,DAYSB_OFF,UNOCCUPIED,PURGE","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)","","","","","","",ok,"","","",Str,2020-05-12T15:49:41.73-07:00 Los_Angeles,"","","","",POND2_FC114_MODE,✓,MSV1,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC114_MODE_TL,Los_Angeles,"","","","","","",2020-04-08T18:52:25.483Z UTC
@p:ubcv:r:23d4ed19-d9c7048b Ponderosa North Unsorted Points POND2_FC112_CCV,"","",@p:ubcv:r:23d4dde8-7bf38974 PONDN POND2_FC112_RM1009 (730112),"",TL1,✓,POND2_FC112_CCV,✓,✓,"",@p:ubcv:r:23d4dde8-7bf38974 PONDN POND2_FC112_RM1009 (730112),✓,"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:50:43-07:00 Los_Angeles,"","","",339592,2019-01-18T05:39:22-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:50:46.597-07:00 Los_Angeles,2019-01-23T16:53:08.273-08:00 Los_Angeles,"","","",Cooling Valve Cmd,"",AO3,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:23e65d0e-46fa10b2 .+_(\d+)?CCV(_TL)?,"","",POND2_FC112_CCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:38.035Z UTC
@p:ubcv:r:23d4ef98-a9603e1e Ponderosa North Unsorted Points POND2_FC138_Space Temperature,"","",@p:ubcv:r:23d4e0fc-9516c19b PONDN POND2_FC138_RM1305_eZFC (730138),"",TL1,✓,POND2_FC138_Space Temperature,"","","",@p:ubcv:r:23d4e0fc-9516c19b PONDN POND2_FC138_RM1305_eZFC (730138),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46518,2019-01-13T12:30:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:51:41.066-07:00 Los_Angeles,"","","","",POND2_FC138_Space Temperature,✓,AV1,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC138_Space Temperature TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:38.136Z UTC
@p:ubcv:r:23d4f4e8-ebfc6a2e Ponderosa North Unsorted Points POND2_VAV_321_RT_SP,✓,"",@p:ubcv:r:23d4e563-bcef39c2 PONDN POND2_AHU2_VAV_321_RM3034_36_38 (730321),"",TL2,✓,POND2_VAV_321_RT_SP,"","","",@p:ubcv:r:23d4e563-bcef39c2 PONDN POND2_AHU2_VAV_321_RM3034_36_38 (730321),"","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:51:55-07:00 Los_Angeles,"","","",69006,2019-01-17T03:41:03-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:54:19.736-07:00 Los_Angeles,2019-01-23T16:52:59.793-08:00 Los_Angeles,"","","",Zone Temp Effective Sp,"",AV6,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"",✓,"","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,✓,"",POND2_VAV_321_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:38.455Z UTC
@p:ubcv:r:23d4f757-5591a2fd Ponderosa North Unsorted Points POND2_EM01_FLOW_LPS_MUX,"","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"",TL3,✓,POND2_EM01_FLOW_LPS_MUX,"","","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:00:00-07:00 Los_Angeles,"","","",11640,2019-01-13T13:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:03.762-07:00 Los_Angeles,"","","","",POND2_EM01_FLOW_LPS_MUX,✓,AV1002,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_EM01_FLOW_LPS_POLL_TL,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:38.789Z UTC
@p:ubcv:r:23d4ebda-41ff34b8 Ponderosa North Unsorted Points pond_ph2_acad_total_int_ltg_kw_AV,"","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"",TL323,✓,pond_ph2_acad_total_int_ltg_kw_AV,"","","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46486,2019-01-14T08:15:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:42.345-07:00 Los_Angeles,"","","","",pond_ph2_acad_total_int_ltg_kw_AV,✓,AV1658,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",MV_pond_ph2_acad_total_int_ltg_kw,Los_Angeles,kW,"","","","","",2020-04-09T19:02:37.863Z UTC
@p:ubcv:r:23d4ebf0-ba244323 Ponderosa North Unsorted Points LOADING_BAY_EF_C,✓,"",@p:ubcv:r:23d4dbdc-ca892df1 PONDN POND2_FCB104_RMB1033 (730004),"",TL19,✓,LOADING_BAY_EF_C,"",✓,"",@p:ubcv:r:23d4dbdc-ca892df1 PONDN POND2_FCB104_RMB1033 (730004),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,✓,✓,"","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-09T19:35:26-07:00 Los_Angeles,"","","",2,2020-05-09T19:35:03-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:49:36.826-07:00 Los_Angeles,2019-01-23T16:53:01.627-08:00 Los_Angeles,"","","",Exhaust Fan Run Cmd,"",BO3,"","","","",✓,"","","","","","","",✓,"","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:23e65d0f-fd222d43 (.+_)?EF_?(\d+)?(_A_\d+)?_F?C(_TL)?,"","",LOADING_BAY_EF_C_TL,Los_Angeles,"","","","","","",2020-04-08T18:52:58.058Z UTC
@p:ubcv:r:23d4eff3-bc8360f2 Ponderosa North Unsorted Points AHU_03_04_RT,✓,"",@p:ubcv:r:23d4e39c-e29377ef PONDN UBC Ponderosa II AHU_3_4 (730160),"",TL41,✓,AHU_03_04_RT,"","","",@p:ubcv:r:23d4e39c-e29377ef PONDN UBC Ponderosa II AHU_3_4 (730160),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:34:48-07:00 Los_Angeles,"","","",46212,2019-01-16T10:32:32-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:49:36.037-07:00 Los_Angeles,2019-01-23T16:53:08.253-08:00 Los_Angeles,"","","",Zone Temp,"",AI3,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,"",MV_pond_ph2_AHU03_AHU04_space_temp,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:38.146Z UTC
@p:ubcv:r:23d4f6e3-038ce5b8 Ponderosa North Unsorted Points POND2_VAV_340_DMP_OP,"","",@p:ubcv:r:23d4e5de-959954ae PONDN POND2_AHU2_VAV_340_RM3075 (730340),"",TL91,✓,POND2_VAV_340_DMP_OP,"","","",@p:ubcv:r:23d4e5de-959954ae PONDN POND2_AHU2_VAV_340_RM3075 (730340),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T09:58:54-07:00 Los_Angeles,"","","",12483,2019-01-17T07:15:18-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:55:21.572-07:00 Los_Angeles,"","","","",POND2_VAV_340_DMP_OP,✓,BO5,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_VAV_340_Dmp_Close_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:57.806Z UTC
@p:ubcv:r:23d4ebda-39ca3ed3 Ponderosa North Unsorted Points BACNET_ELEC_MTR_DEV03_MTR07_KW,"","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"",TL382,✓,BACNET_ELEC_MTR_DEV03_MTR07_KW,"","","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",45940,2019-01-17T11:15:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:42.352-07:00 Los_Angeles,"","","","",BACNET_ELEC_MTR_DEV03_MTR07_KW,✓,AV1336,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",BACNET_ELEC_MTR_DEV03_MTR07_KW_POLL_TL,Los_Angeles,kW,"","","","","",2020-04-09T19:02:37.866Z UTC
@p:ubcv:r:23d4f1ec-e5e7b3ad Ponderosa North Unsorted Points POND2_FC232_Space Temperature,"","",@p:ubcv:r:23d4e414-7111dea7 PONDN POND2_FC232_RM2000_eZFC (730232),"",TL1,✓,POND2_FC232_Space Temperature,"","","",@p:ubcv:r:23d4e414-7111dea7 PONDN POND2_FC232_RM2000_eZFC (730232),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46517,2019-01-13T12:45:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:50:40.255-07:00 Los_Angeles,"","","","",POND2_FC232_Space Temperature,✓,AV1,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","","",Los_Angeles,°C,"","","","","",2020-04-08T18:50:53.325Z UTC
@p:ubcv:r:23d4f133-2c8536cf Ponderosa North Unsorted Points POND2_FC210_Space Temperature,"","",@p:ubcv:r:23d4e414-aacdd3e1 PONDN POND2_FC210_RM2260_eZFC (730210),"",TL1,✓,POND2_FC210_Space Temperature,"","","",@p:ubcv:r:23d4e414-aacdd3e1 PONDN POND2_FC210_RM2260_eZFC (730210),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46513,2019-01-13T12:45:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:29.06-07:00 Los_Angeles,"","","","",POND2_FC210_Space Temperature,✓,AV1,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC210_Space Temperature TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:38.224Z UTC
@p:ubcv:r:23d4ebda-d90f640a Ponderosa North Unsorted Points BACNET_ELEC_MTR_DEV01_MTR04_KWH,"","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"",TL347,✓,BACNET_ELEC_MTR_DEV01_MTR04_KWH,"","","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",45940,2019-01-17T11:15:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:42.355-07:00 Los_Angeles,"","","","",BACNET_ELEC_MTR_DEV01_MTR04_KWH,✓,AV1131,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",BACNET_ELEC_MTR_DEV01_MTR04_KWH_POLL_TL,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:37.867Z UTC
@p:ubcv:r:23d4ebda-e5d21fbf Ponderosa North Unsorted Points BACNET_ELEC_MTR_DEV06_MTR07_KWH,"","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"",TL431,✓,BACNET_ELEC_MTR_DEV06_MTR07_KWH,"","","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",45940,2019-01-17T11:15:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:42.358-07:00 Los_Angeles,"","","","",BACNET_ELEC_MTR_DEV06_MTR07_KWH,✓,AV1637,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",BACNET_ELEC_MTR_DEV06_MTR07_KWH_POLL_TL_NO_ARCHIVE,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:37.868Z UTC
@p:ubcv:r:23d4f767-73c08e34 Ponderosa North Unsorted Points POND2_EM15_HTG_ENERGY_KWH_MUX,"","",@p:ubcv:r:23d4dcf3-86cdf326 PONDN POND2_EM14_EM15_CP731200 (731200),"",TL75,✓,POND2_EM15_HTG_ENERGY_KWH_MUX,"","","",@p:ubcv:r:23d4dcf3-86cdf326 PONDN POND2_EM14_EM15_CP731200 (731200),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:00:00-07:00 Los_Angeles,"","","",11631,2019-01-13T13:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:01.797-07:00 Los_Angeles,"","","","",POND2_EM15_HTG_ENERGY_KWH_MUX,✓,AV1074,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_EM15_HTG_ENERGY_KWH_POLL_TL,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:38.892Z UTC
@p:ubcv:r:23d4ebda-55fac94e Ponderosa North Unsorted Points POND2_WWHP_M4_C2_AL_MUX,"","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"",TL457,✓,POND2_WWHP_M4_C2_AL_MUX,"","","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-11T12:31:18-07:00 Los_Angeles,"","","",177,2019-05-06T13:55:31-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:47:41.39-07:00 Los_Angeles,"","","","",POND2_WWHP_M4_C2_AL_MUX,✓,BV101,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_WWHP_M4_C2_AL_MUX_TL,Los_Angeles,"","","","","","",2020-04-08T18:49:36.659Z UTC
@p:ubcv:r:23d4f705-079e369f Ponderosa North Unsorted Points MUA_01_SUCTION_TEMP_MUX,"","",@p:ubcv:r:23d4dcf3-a55e5199 PONDN POND2_AHU_MUA_DC_CP730700 (730700),"",TL147,✓,MUA_01_SUCTION_TEMP_MUX,"","","",@p:ubcv:r:23d4dcf3-a55e5199 PONDN POND2_AHU_MUA_DC_CP730700 (730700),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46439,2019-01-14T09:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:54:18.16-07:00 Los_Angeles,"","","","",MUA_01_SUCTION_TEMP_MUX,✓,AV208,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",MUA_01_SUCTION_TEMP_MUX_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:38.592Z UTC
@p:ubcv:r:23d4f149-354f3000 Ponderosa North Unsorted Points POND2_FC211_SAT,✓,"",@p:ubcv:r:23d4e414-6559e673 PONDN POND2_FC211_RM2240 (730211),"",TL4,✓,POND2_FC211_SAT,"","","",@p:ubcv:r:23d4e414-6559e673 PONDN POND2_FC211_RM2240 (730211),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:54:32-07:00 Los_Angeles,"","","",136914,2019-01-17T20:06:34-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:57:21.16-07:00 Los_Angeles,2019-01-23T16:53:25.15-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI2,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,"",POND2_FC211_SAT_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:38.227Z UTC
@p:ubcv:r:23d4ebda-6727dc8c Ponderosa North Unsorted Points BACNET_VFD_P10_ENERGY_KWH_MUX,"","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"",TL270,✓,BACNET_VFD_P10_ENERGY_KWH_MUX,"","","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46486,2019-01-14T08:15:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:42.367-07:00 Los_Angeles,"","","","",BACNET_VFD_P10_ENERGY_KWH_MUX,✓,AV419,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",BACNET_VFD_P10_ENERGY_KWH_MUX_TL,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:37.87Z UTC
@p:ubcv:r:23d4f718-1d4d827a Ponderosa North Unsorted Points HRV_07_HC_LWT,"","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"",TL56,✓,HRV_07_HC_LWT,"","","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:50:34-07:00 Los_Angeles,"","","",46228,2019-01-16T10:52:19-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:34.465-07:00 Los_Angeles,2019-01-23T16:53:19.906-08:00 Los_Angeles,"","","",HRV_07_HC_LWT,✓,AI1502,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",HRV_07_CC_LWT_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:38.689Z UTC
@p:ubcv:r:23d4f780-b9af99aa Ponderosa North Unsorted Points POND2_FC1801_RT_SP,✓,"",@p:ubcv:r:23d4eb67-130650e9 PONDN POND2_FC1801_RM18226 (731850),"",TL6,✓,POND2_FC1801_RT_SP,"","","",@p:ubcv:r:23d4eb67-130650e9 PONDN POND2_FC1801_RM18226 (731850),"","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:50:35-07:00 Los_Angeles,"","","",339685,2019-01-18T06:19:46-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:51:12.618-07:00 Los_Angeles,2019-01-23T16:52:50.643-08:00 Los_Angeles,"","","",Zone Temp Effective Sp,"",AV7,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"",✓,"","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,✓,"",POND2_FC1801_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:38.95Z UTC
@p:ubcv:r:23d4f718-de9c8e92 Ponderosa North Unsorted Points AHU_02_RHC_LWT,"","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"",TL36,✓,AHU_02_RHC_LWT,"","","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:51:34-07:00 Los_Angeles,"","","",339885,2019-01-18T06:09:28-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:34.479-07:00 Los_Angeles,2019-01-23T16:53:20.401-08:00 Los_Angeles,"","","",AHU_02_RHC_LWT,✓,AI1102,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",AHU_02_RHC_LWT_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:38.691Z UTC
