,uniqueId_nounit,id,firstdate,time,groupRef_influx,equipRef_fix,equipRef_influx,navName_influx,siteRef,typeRef,unit_sspark,unit_influx,kind
10,Pharmacy Rm 3304 VAV-3S048 Pharmacy Floor 3 Discharge Air Damper Open Cmd Pharmacy VAV_3S048_Dmp_Open,@p:ubcv:r:2391c714-268874f3 Pharmacy Rm 3304 VAV-3S048 VAV_3S048_Dmp_Open,2020-01-07,2020-01-07 21:46:23,Pharmacy Floor 3,Pharmacy Rm 3304 VAV-3S048,Rm 3304 VAV-3S048,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S048_Dmp_Open,,omit,Bool
11,Pharmacy LEF-1 Pharmacy Air Systems EF1_LEAD2_FAN_FAULT Pharmacy EF1_LEAD2_FAN_FAULT,@p:ubcv:r:236c8a6b-53865d91 Pharmacy LEF-1 EF1_LEAD2_FAN_FAULT,2020-01-08,2020-01-08 19:53:20,Pharmacy Air Systems,Pharmacy LEF-1,LEF-1,EF1_LEAD2_FAN_FAULT,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF1_LEAD2_FAN_FAULT,,omit,Bool
12,Pharmacy Windows Pharmacy Floor 5 L5_SE_OAT_CLG_AVAIL Pharmacy L5_SE_OAT_CLG_AVAIL,@p:ubcv:r:2391c9c7-094e3551 Pharmacy Windows L5_SE_OAT_CLG_AVAIL,2019-09-13,2019-09-13 23:02:55,Pharmacy Floor 5,Pharmacy Windows,Windows,L5_SE_OAT_CLG_AVAIL,@p:ubcv:r:20545206-9300bfc5 Pharmacy,L5_SE_OAT_CLG_AVAIL,,omit,Bool
13,Pharmacy Cooling Plant CH-3 Pharmacy Hydronic Systems Enable Cmd Pharmacy CHLR_CH3_SYS_ENAB_BV,@p:ubcv:r:2114f4e8-daec78ec Pharmacy Cooling Plant CH-3 CHLR_CH3_SYS_ENAB_BV,2020-01-01,2020-01-01 18:29:59,Pharmacy Hydronic Systems,Pharmacy Cooling Plant CH-3,Cooling Plant CH-3,Enable Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CHLR_CH3_SYS_ENAB_BV,,_,Bool
14,Pharmacy Rm 4317 VAV-4S056 Pharmacy Floor 4 Discharge Air Damper Close Cmd Pharmacy VAV_4S056_Dmp_Close,@p:ubcv:r:2391c7ff-cd271216 Pharmacy Rm 4317 VAV-4S056 VAV_4S056_Dmp_Close,2020-01-07,2020-01-07 15:21:44,Pharmacy Floor 4,Pharmacy Rm 4317 VAV-4S056,Rm 4317 VAV-4S056,Discharge Air Damper Close Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_4S056_Dmp_Close,,omit,Bool
15,Pharmacy Rm B401b EAV-BS006 Pharmacy Floor 0 Alarm Pharmacy BS006_SUP_FLOW_AL_BV,@p:ubcv:r:236c8a41-a6295a95 Pharmacy Rm B401b EAV-BS006 BS006_SUP_FLOW_AL_BV,2019-09-20,2019-09-20 07:34:46,Pharmacy Floor 0,Pharmacy Rm B401b EAV-BS006,Rm B401b EAV-BS006,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS006_SUP_FLOW_AL_BV,,_,Bool
16,Pharmacy Rm 6315 VAV-6S048 Pharmacy Floor 6 Discharge Air Flow Alarm Pharmacy 6S048_6E060_SUP_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-221a17d3 Pharmacy Rm 6315 VAV-6S048 6S048_6E060_SUP_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:28:29,Pharmacy Floor 6,Pharmacy Rm 6315 VAV-6S048,Pharmacy Rm 6315 VAV-6S048,Discharge Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S048_6E060_SUP_FLOW_ALARM_BV,,_,Bool
17,Pharmacy Heating Plant Pharmacy Hydronic Systems BLR_LAG_HI_PUMP_FAIL Pharmacy BLR_LAG_HI_PUMP_FAIL,@p:ubcv:r:236c8acc-3ce4ae70 Pharmacy Heating Plant BLR_LAG_HI_PUMP_FAIL,2020-01-07,2020-01-07 16:13:28,Pharmacy Hydronic Systems,Pharmacy Heating Plant,Heating Plant,BLR_LAG_HI_PUMP_FAIL,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BLR_LAG_HI_PUMP_FAIL,,_,Bool
18,Pharmacy Rm 4202a VAV-4S003 Pharmacy Floor 4 Exhaust Air Flow Alarm Pharmacy 4S003_4E006_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-d3010fb7 Pharmacy Rm 4202a VAV-4S003 4S003_4E006_EXH_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:28:29,Pharmacy Floor 4,Pharmacy Rm 4202a VAV-4S003,Rm 4202a VAV-4S003,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,4S003_4E006_EXH_FLOW_ALARM_BV,,_,Bool
19,Pharmacy Rm 6305b VAV-6S036 Pharmacy Floor 6 Discharge Air Flow Alarm Pharmacy 6S036_6E045_SUP_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-0aa5debc Pharmacy Rm 6305b VAV-6S036 6S036_6E045_SUP_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:28:29,Pharmacy Floor 6,Pharmacy Rm 6305b VAV-6S036,Rm 6305b VAV-6S036,Discharge Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S036_6E045_SUP_FLOW_ALARM_BV,,_,Bool
20,Pharmacy Cooling Plant Pharmacy Hydronic Systems Run Cmd Pharmacy CT_P6C_C,@p:ubcv:r:236c9051-7233b856 Pharmacy Cooling Plant P6C CT_P6C_C,2020-04-28,2020-04-28 16:17:00,Pharmacy Hydronic Systems,Pharmacy Cooling Plant,Cooling Plant,Run Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CT_P6C_C,,omit,Bool
21,Pharmacy Rm 3313 VAV-3S052 Pharmacy Floor 3 Discharge Air Damper Open Cmd Pharmacy VAV_3S052_Dmp_Open,@p:ubcv:r:2391c696-46dd1d64 Pharmacy Rm 3313 VAV-3S052 VAV_3S052_Dmp_Open,2020-01-07,2020-01-07 21:49:17,Pharmacy Floor 3,Pharmacy Rm 3313 VAV-3S052,Rm 3313 VAV-3S052,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S052_Dmp_Open,,omit,Bool
22,Pharmacy Cooling Plant CH-4 Pharmacy Hydronic Systems Chiller Run Cmd Pharmacy CHLR_CH4_STATUS,@p:ubcv:r:2114f185-0b041a2e Pharmacy Cooling Plant CH-4 CHLR_CH4_STATUS,2017-07-14,2017-07-14 17:25:59,Pharmacy Hydronic Systems,Pharmacy Cooling Plant CH-4,Cooling Plant CH-4,Chiller Run Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CHLR_CH4_STATUS,,omit,Bool
23,Pharmacy Cooling Plant Pharmacy Hydronic Systems CT_P6A_STATUS Pharmacy CT_P6A_STATUS,@p:ubcv:r:236c9051-bf829cd3 Pharmacy Cooling Plant CT_P6A_STATUS,2019-12-31,2019-12-31 16:23:39,Pharmacy Hydronic Systems,Pharmacy Cooling Plant,Cooling Plant,CT_P6A_STATUS,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CT_P6A_STATUS,,_,Bool
24,Pharmacy Rm 3110 VAV-3S019 Pharmacy Floor 3 Discharge Air Damper Close Cmd Pharmacy VAV_3S019_Dmp_Close,@p:ubcv:r:236c8f02-5a5db053 Pharmacy Rm 3110 VAV-3S019 VAV_3S019_Dmp_Close,2020-01-07,2020-01-07 16:03:58,Pharmacy Floor 3,Pharmacy Rm 3110 VAV-3S019,Rm 3110 VAV-3S019,Discharge Air Damper Close Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S019_Dmp_Close,,_,Bool
25,Pharmacy Rm 2305 VAV-2S003 Pharmacy Floor 2 Discharge Air Damper Open Cmd Pharmacy VAV_2S003_Dmp_Open,@p:ubcv:r:2391c3a9-622838aa Pharmacy Rm 2305 VAV-2S003 VAV_2S003_Dmp_Open,2020-01-07,2020-01-07 21:36:06,Pharmacy Floor 2,Pharmacy Rm 2305 VAV-2S003,Rm 2305 VAV-2S003,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_2S003_Dmp_Open,,omit,Bool
26,Pharmacy EF-05 Pharmacy Air Systems Alarm Pharmacy EF_05_FAIL_AL_BV,@p:ubcv:r:236c8a57-ac3185ba Pharmacy EF-05 EF_05_FAIL_AL_BV,2019-10-05,2019-10-05 00:10:04,Pharmacy Air Systems,Pharmacy EF-05,EF-05,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF_05_FAIL_AL_BV,,_,Bool
27,Pharmacy Rm Corr FC-604 Pharmacy Floor 6 FCU_604_NSB_HTG_BV Pharmacy FCU_604_NSB_HTG_BV,@p:ubcv:r:2391ca91-ae86bf81 Pharmacy Rm Corr FC-604 FCU_604_NSB_HTG_BV,2019-02-26,2019-02-26 14:00:00,Pharmacy Floor 6,Pharmacy Rm Corr FC-604,Rm Corr FC-604,FCU_604_NSB_HTG_BV,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_604_NSB_HTG_BV,,omit,Bool
28,Pharmacy Rm 6122 VAV-6S066 Pharmacy Floor 6 Operation Mode Pharmacy VAV_6S066_OperationMode,@p:ubcv:r:236c8c0b-cec24fc2 Pharmacy Rm 6122 VAV-6S066 VAV_6S066_OperationMode,2020-01-07,2020-01-07 15:16:30,Pharmacy Floor 6,Pharmacy Rm 6122 VAV-6S066,Rm 6122 VAV-6S066,Operation Mode,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_6S066_OperationMode,,_,Str
29,Pharmacy Rm 4312 VAV-4S032 Pharmacy Floor 4 Flow Alarm Pharmacy 4S032_FLOW_ALARM_BV,@p:ubcv:r:236c8a02-f84ca280 Pharmacy Rm 4312 VAV-4S032 4S032_FLOW_ALARM_BV,2019-09-03,2019-09-03 20:24:56,Pharmacy Floor 4,Pharmacy Rm 4312 VAV-4S032,Rm 4312 VAV-4S032,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,4S032_FLOW_ALARM_BV,,_,Bool
30,Pharmacy Rm 3334a VAV-3S034 Pharmacy Floor 3 Discharge Air Damper Open Cmd Pharmacy VAV_3S034_Dmp_Open,@p:ubcv:r:2391c555-d764a485 Pharmacy Rm 3334a VAV-3S034 VAV_3S034_Dmp_Open,2020-01-07,2020-01-07 21:30:33,Pharmacy Floor 3,Pharmacy Rm 3334a VAV-3S034,Rm 3334a VAV-3S034,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S034_Dmp_Open,,omit,Bool
31,Pharmacy Rm 6315 VAV-6S048 Pharmacy Floor 6 Exhaust Air Flow Alarm Pharmacy 6S048_6E060_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f9-4d4edf43 Pharmacy Rm 6315 VAV-6S048 6S048_6E060_EXH_FLOW_ALARM_BV,2019-06-11,2019-06-11 19:43:45,Pharmacy Floor 6,Pharmacy Rm 6315 VAV-6S048,Rm 6315 VAV-6S048,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S048_6E060_EXH_FLOW_ALARM_BV,,_,Bool
32,Pharmacy Rm 5202 EAV-5E064 Pharmacy Floor 5 Flow Alarm Pharmacy 5E064_FLOW_ALARM_BV,@p:ubcv:r:236c8a04-74257eb0 Pharmacy Rm 5202 EAV-5E064 5E064_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:40:55,Pharmacy Floor 5,Pharmacy Rm 5202 EAV-5E064,Rm 5202 EAV-5E064,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5E064_FLOW_ALARM_BV,,_,Bool
33,Pharmacy Windows Pharmacy Floor 5 L5_W_OPW_OPEN Pharmacy L5_W_OPW_OPEN,@p:ubcv:r:236c8c5b-97a76d03 Pharmacy Windows L5_W_OPW_OPEN,2019-11-06,2019-11-06 15:44:00,Pharmacy Floor 5,Pharmacy Windows,Windows,L5_W_OPW_OPEN,@p:ubcv:r:20545206-9300bfc5 Pharmacy,L5_W_OPW_OPEN,,_,Bool
34,Pharmacy Rm 3313 VAV-3S052 Pharmacy Floor 3 Operation Mode Pharmacy VAV_3S052_OperationMode,@p:ubcv:r:2391c696-3734cfac Pharmacy Rm 3313 VAV-3S052 VAV_3S052_OperationMode,2019-11-19,2019-11-19 14:00:02,Pharmacy Floor 3,Pharmacy Rm 3313 VAV-3S052,Pharmacy Rm 3313 VAV-3S052,Operation Mode,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S052_OperationMode,,omit,Str
35,Pharmacy Heating Plant SBLR-2 Pharmacy Hydronic Systems SB2_ENAB Pharmacy SB2_ENAB,@p:ubcv:r:236c8ab6-6bae83ea Pharmacy Heating Plant SBLR-2 SB2_ENAB,2019-07-25,2019-07-25 21:54:43,Pharmacy Hydronic Systems,Pharmacy Heating Plant SBLR-2,Heating Plant SBLR-2,SB2_ENAB,@p:ubcv:r:20545206-9300bfc5 Pharmacy,SB2_ENAB,,_,Bool
36,Pharmacy Rm 6304 VAV-6S050 Pharmacy Floor 6 Exhaust Air Flow Alarm Pharmacy 6S050_6E063_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f9-642651b7 Pharmacy Rm 6304 VAV-6S050 6S050_6E063_EXH_FLOW_ALARM_BV,2019-06-11,2019-06-11 19:43:45,Pharmacy Floor 6,Pharmacy Rm 6304 VAV-6S050,Rm 6304 VAV-6S050,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S050_6E063_EXH_FLOW_ALARM_BV,,_,Bool
37,Pharmacy Rm 4313 VAV-4S042 Pharmacy Floor 4 Exhaust Air Flow Alarm Pharmacy 4S042_4E029_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-00c2aa81 Pharmacy Rm 4313 VAV-4S042 4S042_4E029_EXH_FLOW_ALARM_BV,2019-06-11,2019-06-11 19:43:45,Pharmacy Floor 4,Pharmacy Rm 4313 VAV-4S042,Rm 4313 VAV-4S042,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,4S042_4E029_EXH_FLOW_ALARM_BV,,_,Bool
38,Pharmacy Rm 4303 VAV-4S045 Pharmacy Floor 4 Occupancy Sensor Pharmacy VAV_4S045_MOTION,@p:ubcv:r:2391c93f-b1a2873f Pharmacy Rm 4303 VAV-4S045 VAV_4S045_MOTION,2020-01-07,2020-01-07 21:31:26,Pharmacy Floor 4,Pharmacy Rm 4303 VAV-4S045,Rm 4303 VAV-4S045,Occupancy Sensor,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_4S045_MOTION,,omit,Bool
39,Pharmacy AHU-14 Pharmacy Air Systems AHU14_FZ Pharmacy AHU14_FZ,@p:ubcv:r:236c8ab7-6fd4fdc5 Pharmacy AHU-14 AHU14_FZ,2020-01-15,2020-01-15 23:39:08,Pharmacy Air Systems,Pharmacy AHU-14,AHU-14,AHU14_FZ,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU14_FZ,,_,Bool
40,Pharmacy Rm 5105 VAV-5S009 Pharmacy Floor 5 Flow Alarm Pharmacy 5S009_FLOW_ALARM_BV,@p:ubcv:r:236c8a02-1e926e75 Pharmacy Rm 5105 VAV-5S009 5S009_FLOW_ALARM_BV,2019-10-23,2019-10-23 20:08:57,Pharmacy Floor 5,Pharmacy Rm 5105 VAV-5S009,Rm 5105 VAV-5S009,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5S009_FLOW_ALARM_BV,,L/s,Bool
41,Pharmacy Elec Submeters LEED-2NBLW1 Pharmacy Utilities 2NBLW1_3_EXT3 Pharmacy 2NBLW1_3_EXT3,@p:ubcv:r:236c9002-4acfe18c Pharmacy Elec Submeters LEED-2NBLW1 2NBLW1_3_EXT3,2020-03-12,2020-03-12 15:00:00,Pharmacy Utilities,Pharmacy Elec Submeters LEED-2NBLW1,Elec Submeters LEED-2NBLW1,2NBLW1_3_EXT3,@p:ubcv:r:20545206-9300bfc5 Pharmacy,2NBLW1_3_EXT3,,_,Bool
42,Pharmacy Rm 2326 VAV-2S014 Pharmacy Floor 2 Discharge Air Damper Close Cmd Pharmacy VAV_2S014_Dmp_Close,@p:ubcv:r:2391c357-a48f49f2 Pharmacy Rm 2326 VAV-2S014 VAV_2S014_Dmp_Close,2020-01-07,2020-01-07 20:42:39,Pharmacy Floor 2,Pharmacy Rm 2326 VAV-2S014,Rm 2326 VAV-2S014,Discharge Air Damper Close Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_2S014_Dmp_Close,,omit,Bool
43,Pharmacy EAV-BE099 Pharmacy Floor 0 Exhaust Air Flow Alarm Pharmacy BE099_EXH_FLOW_AL_BV,@p:ubcv:r:236c8a4d-d5a56276 Pharmacy EAV-BE099 BE099_EXH_FLOW_AL_BV,2020-01-07,2020-01-07 21:56:17,Pharmacy Floor 0,Pharmacy EAV-BE099,EAV-BE099,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BE099_EXH_FLOW_AL_BV,,_,Bool
44,Pharmacy Heating Plant SBLR-5 Pharmacy Hydronic Systems PHARM_SB5_HIGH_STACK_TEMP_SHUTDOWN Pharmacy PHARM_SB5_HIGH_STACK_TEMP_SHUTDOWN,@p:ubcv:r:236c89d4-eaa6619d Pharmacy Heating Plant SBLR-5 PHARM_SB5_HIGH_STACK_TEMP_SHUTDOWN,2018-11-01,2018-11-01 16:51:07,Pharmacy Hydronic Systems,Pharmacy Heating Plant SBLR-5,Heating Plant SBLR-5,PHARM_SB5_HIGH_STACK_TEMP_SHUTDOWN,@p:ubcv:r:20545206-9300bfc5 Pharmacy,PHARM_SB5_HIGH_STACK_TEMP_SHUTDOWN,,_,Bool
45,Pharmacy Cooling Plant Chiller System Pharmacy Hydronic Systems Enable Cmd Pharmacy CHLR_LAG_3_EN,@p:ubcv:r:236c8a09-f0e22de8 Pharmacy Cooling Plant Chiller System CHLR_LAG_3_EN,2019-08-31,2019-08-31 01:42:34,Pharmacy Hydronic Systems,Pharmacy Cooling Plant Chiller System,Cooling Plant Chiller System,Enable Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CHLR_LAG_3_EN,,_,Bool
46,Pharmacy Rm 5205 VAV-5S029 Pharmacy Floor 5 Flow Alarm Pharmacy 5S029_FLOW_ALARM_BV,@p:ubcv:r:236c8a03-7a2a669c Pharmacy Rm 5205 VAV-5S029 5S029_FLOW_ALARM_BV,2019-11-21,2019-11-21 22:35:39,Pharmacy Floor 5,Pharmacy Rm 5205 VAV-5S029,Rm 5205 VAV-5S029,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5S029_FLOW_ALARM_BV,,_,Bool
47,Pharmacy Rm B604a EAV-BS035 Pharmacy Floor 0 Alarm Pharmacy BS035_CAGE_EXH_VLV_STA_FLO_AL_BV,@p:ubcv:r:236c89e6-0f0d6d47 Pharmacy Rm B604a EAV-BS035 BS035_CAGE_EXH_VLV_STA_FLO_AL_BV,2019-03-21,2019-03-21 14:17:06,Pharmacy Floor 0,Pharmacy Rm B604a EAV-BS035,Pharmacy Rm B604a EAV-BS035,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS035_CAGE_EXH_VLV_STA_FLO_AL_BV,,_,Bool
48,Pharmacy Rm 4310 VAV-4S036 Pharmacy Floor 4 Flow Alarm Pharmacy 4S036_FLOW_ALARM_BV,@p:ubcv:r:236c8a02-26bf84c5 Pharmacy Rm 4310 VAV-4S036 4S036_FLOW_ALARM_BV,2019-09-03,2019-09-03 20:24:56,Pharmacy Floor 4,Pharmacy Rm 4310 VAV-4S036,Rm 4310 VAV-4S036,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,4S036_FLOW_ALARM_BV,,_,Bool
49,Pharmacy AHU-07 SF Pharmacy Air Systems Alarm Pharmacy AHU7_SF_FAIL_AL_BV,@p:ubcv:r:236c8a99-30e4238d Pharmacy AHU-07 SF AHU7_SF_FAIL_AL_BV,2019-03-07,2019-03-07 22:06:05,Pharmacy Air Systems,Pharmacy AHU-07 SF,AHU-07 SF,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU7_SF_FAIL_AL_BV,,_,Bool
50,Pharmacy Rm 4312A EF-32 Pharmacy Floor 4 Alarm Pharmacy EF_32_FAIL_AL_BV,@p:ubcv:r:236c8a57-ad4a6c25 Pharmacy Rm 4312A EF-32 EF_32_FAIL_AL_BV,2018-12-20,2018-12-20 20:33:38,Pharmacy Floor 4,Pharmacy Rm 4312A EF-32,Rm 4312A EF-32,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF_32_FAIL_AL_BV,,_,Bool
51,Pharmacy Rm 3202 VAV-3S014 Pharmacy Floor 3 Operation Mode Pharmacy VAV_3S014_OperationMode,@p:ubcv:r:2391bd3c-dc6e2eeb Pharmacy Rm 3202 VAV-3S014 VAV_3S014_OperationMode,2020-01-07,2020-01-07 15:30:43,Pharmacy Floor 3,Pharmacy Rm 3202 VAV-3S014,Rm 3202 VAV-3S014,Operation Mode,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S014_OperationMode,,omit,Str
52,Pharmacy LEF-3 EF-3C Pharmacy Air Systems Exhaust Fan Run  Pharmacy EF3_F3_STATUS,@p:ubcv:r:236c8ab6-10f7179e Pharmacy LEF-3 EF-3C EF3_F3_STATUS,2020-01-17,2020-01-17 23:30:00,Pharmacy Air Systems,Pharmacy LEF-3 EF-3C,LEF-3 EF-3C,Exhaust Fan Run ,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF3_F3_STATUS,,_,Bool
53,Pharmacy Rm 1410 VAV-1S012 Pharmacy Floor 1 Discharge Air Damper Close Cmd Pharmacy VAV_1S012_Dmp_Close,@p:ubcv:r:2391c00b-8c8697fe Pharmacy Rm 1410 VAV-1S012 VAV_1S012_Dmp_Close,2020-01-07,2020-01-07 16:26:18,Pharmacy Floor 1,Pharmacy Rm 1410 VAV-1S012,Rm 1410 VAV-1S012,Discharge Air Damper Close Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_1S012_Dmp_Close,,omit,Bool
