,id,ahu,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,boiler,bridgeName,chilled,chiller,close,cmd,co2,condenser,connRef,cool,cooling,coolingTower,cop,count,covTest,cur,curStatus,curVal,current,damper,delta,demand,differential,disMacro,disabled,discharge,effective,efficiency,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heating,heatingMode,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,lim,lowLim,max,min,mixed,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,open,outside,perimeterHeat,pharmAHU05_AV_Alarm,pharmAHU10_VAV_DMP,pharmAHU13_VAV_DMP,pharmAHU1415_AV_Alarm,pharmAHU1415_VAV_DMP,pharmAHU1617_AV_ALARM,pharmAHU1617_VAV_DMP,pharmAHU9_VAV_DMP,pharmCT,pharmHWblr,pharmHeatRejCV,pharmSTMblr,pharmSteamBoilers,pharm_LEF_AFLW,pharm_LEF_Power,pharm_SAV_Test,point,pointType,power,preFilter,pressure,primarySide,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,secondarySide,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,static,submeterAdd,tagTableRef,tags,tank,temp,testUnits,tlName,toTag,tz,unit,utilityPoint,valve,vavMode,voltage,volume,water,wifi,wifiId,zone,mod,equipRefclean,groupRefclean,siteRefclean,uniqueId,uniqueId_nounit
1857,@p:ubcv:r:236c89f0-d00f9460 Pharmacy Rm 5206 EAV-5E054 5E054_VLV_FLOW_FDBK_AV,,,✓,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,TL230,,✓,5E054_VLV_FLOW_FDBK_AV,,,,,,,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:2437f94e-5a4c10d1 Pharmacy Rm 5206 EAV-5E054,✓,✓,,,,✓,,@p:ubcv:r:24353a1f-3e4e6d88 Pharmacy Floor 5,,,,,✓,,,,2020-06-05T08:38:59-07:00 Los_Angeles,,,,56256.0,2018-10-28T07:00:23-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:20.577-07:00 Los_Angeles,2018-11-28T16:32:31.758-08:00 Los_Angeles,,,,,,,,Exhaust Air Flow,,AV230,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:245b883e-99bf586f (\d|B)E\d+_(.+_)?FLOW_FDBK(_AV)?(_TL)?,,,,,5E054_VLV_FLOW_FDBK_AV_TL,,Los_Angeles,L/s,,,,,,,,,,2020-04-09T19:02:35.943Z UTC,Pharmacy Rm 5206 EAV-5E054,Pharmacy Floor 5,Pharmacy,Pharmacy Rm 5206 EAV-5E054 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E054_VLV_FLOW_FDBK_AVL/s,Pharmacy Rm 5206 EAV-5E054 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E054_VLV_FLOW_FDBK_AVL/s
1987,@p:ubcv:r:236c8ab6-2b4a19f9 Pharmacy LEF-3 EF-3B EF3_F2_SPD_FB,,,✓,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,TL231,,✓,EF3_F2_SPD_FB,,,,,,,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354342-98e78c4c Pharmacy LEF-3 EF-3B,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-05T08:43:20-07:00 Los_Angeles,,,,56146.0,2018-10-29T08:01:20-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:18.468-07:00 Los_Angeles,2018-11-28T16:32:31.145-08:00 Los_Angeles,,,,,,,,Exhaust Fan Speed,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,✓,,,,,,@p:ubcv:r:24423d81-5e5a6858 (.+_)?EF\d_F\d_SPD_FB(_TL)?,,,,,EF3_F2_SPD_FB_POLL_TL,,Los_Angeles,%,,,,,,,,,,2020-05-02T12:14:30.905Z UTC,Pharmacy LEF-3 EF-3B,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-3 EF-3B Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF3_F2_SPD_FB%,Pharmacy LEF-3 EF-3B Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF3_F2_SPD_FB%
2092,@p:ubcv:r:236c89f0-a34764c3 Pharmacy Rm 5206 EAV-5E035 5E035_VLV_FLOW_FDBK_AV,,,✓,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,TL225,,✓,5E035_VLV_FLOW_FDBK_AV,,,,,,,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:2437f94d-4f42c7ff Pharmacy Rm 5206 EAV-5E035,✓,✓,,,,✓,,@p:ubcv:r:24353a1f-3e4e6d88 Pharmacy Floor 5,,,,,✓,,,,2020-06-05T08:38:59-07:00 Los_Angeles,,,,56256.0,2018-10-28T07:00:23-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:20.017-07:00 Los_Angeles,2018-11-28T16:32:39.205-08:00 Los_Angeles,,,,,,,,Exhaust Air Flow,,AV225,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:245b883e-99bf586f (\d|B)E\d+_(.+_)?FLOW_FDBK(_AV)?(_TL)?,,,,,5E035_VLV_FLOW_FDBK_AV_TL,,Los_Angeles,L/s,,,,,,,,,,2020-04-09T19:02:35.723Z UTC,Pharmacy Rm 5206 EAV-5E035,Pharmacy Floor 5,Pharmacy,Pharmacy Rm 5206 EAV-5E035 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E035_VLV_FLOW_FDBK_AVL/s,Pharmacy Rm 5206 EAV-5E035 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E035_VLV_FLOW_FDBK_AVL/s
2147,@p:ubcv:r:236c8a41-4b100907 Pharmacy Unsorted Points application packets sent,,,,,,@p:ubcv:r:236bb200-bd580417 PHARMA PHARM_LABS_BAC2 (701900),,TL282,,✓,application packets sent,,,,,,,,,@p:ubcv:r:236bb200-bd580417 PHARMA PHARM_LABS_BAC2 (701900),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,2020-06-05T08:44:55-07:00 Los_Angeles,,,,5584738.0,2018-10-31T09:52:00-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:44:56.782-07:00 Los_Angeles,2018-11-28T16:33:00.975-08:00 Los_Angeles,,,,,,,,application packets sent,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,Packets sent TL,,Los_Angeles,_,,,,,,,,,,2020-04-09T19:15:25.139Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points application packets sent Pharmacy application packets sent_,Pharmacy Unsorted Points Pharmacy Unsorted Points application packets sent Pharmacy application packets sent_
2159,@p:ubcv:r:236c8d33-c00b30df Pharmacy Unsorted Points LTG_RLY7,,,,,,@p:ubcv:r:236bb31e-5ab53d00 PHARMA PHARM__LTG_LVL4_WEST RM4130 (700436),,TL7,,✓,LTG_RLY7,,,,,,,,,@p:ubcv:r:236bb31e-5ab53d00 PHARMA PHARM__LTG_LVL4_WEST RM4130 (700436),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:48:41.648-07:00 Los_Angeles,2018-11-28T16:32:36.097-08:00 Los_Angeles,,,,,,,,LTG_RLY7,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY7_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:37.237Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY7 Pharmacy LTG_RLY7,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY7 Pharmacy LTG_RLY7
2162,@p:ubcv:r:236c89d6-45f43bd5 Pharmacy Rm 5206 EAV-5E046 5E046_VLV_FLOW_FDBK_AV,,,✓,,,@p:ubcv:r:236bb200-c61ba5ec PHARMA PHARM_L4~L6_LAB_TLOG2 Manager (703200),,TL12,,✓,5E046_VLV_FLOW_FDBK_AV,,,,,,,,,@p:ubcv:r:236bb200-c61ba5ec PHARMA PHARM_L4~L6_LAB_TLOG2 Manager (703200),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:2437f94d-0ddc3505 Pharmacy Rm 5206 EAV-5E046,✓,✓,,,,✓,,@p:ubcv:r:24353a1f-3e4e6d88 Pharmacy Floor 5,,,,,✓,,,,2020-06-05T08:45:00-07:00 Los_Angeles,,,,56117.0,2018-10-29T09:15:00-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:55:12.156-07:00 Los_Angeles,2018-11-28T16:32:33.148-08:00 Los_Angeles,,,,,,,,Exhaust Air Flow,,AV12,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:245b883e-99bf586f (\d|B)E\d+_(.+_)?FLOW_FDBK(_AV)?(_TL)?,,,,,5E046_VLV_FLOW_FDBK_TL,,Los_Angeles,L/s,,,,,,,,,,2020-04-09T19:02:36.472Z UTC,Pharmacy Rm 5206 EAV-5E046,Pharmacy Floor 5,Pharmacy,Pharmacy Rm 5206 EAV-5E046 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E046_VLV_FLOW_FDBK_AVL/s,Pharmacy Rm 5206 EAV-5E046 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E046_VLV_FLOW_FDBK_AVL/s
2247,@p:ubcv:r:236c8d33-e38c9aa7 Pharmacy Unsorted Points LTG_RLY9,,,,,,@p:ubcv:r:236bb31e-5ab53d00 PHARMA PHARM__LTG_LVL4_WEST RM4130 (700436),,TL9,,✓,LTG_RLY9,,,,,,,,,@p:ubcv:r:236bb31e-5ab53d00 PHARMA PHARM__LTG_LVL4_WEST RM4130 (700436),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:48:40.341-07:00 Los_Angeles,2018-11-28T16:32:36.101-08:00 Los_Angeles,,,,,,,,LTG_RLY9,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY9_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:37.246Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY9 Pharmacy LTG_RLY9,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY9 Pharmacy LTG_RLY9
2276,@p:ubcv:r:236c8a6c-c63d6174 Pharmacy LEF-1 EF-1B EF1_F2_SPD_FB,,,✓,,,"@p:ubcv:r:236bb200-176f7cdc PHARMA PHARM_AHU16~18,EF1 (701500)",,TL65,,✓,EF1_F2_SPD_FB,,,,,,,,,"@p:ubcv:r:236bb200-176f7cdc PHARMA PHARM_AHU16~18,EF1 (701500)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354341-2df19d70 Pharmacy LEF-1 EF-1B,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-01-08T11:55:08-08:00 Los_Angeles,,,,256.0,2018-11-18T22:27:21-08:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:16.656-07:00 Los_Angeles,2018-11-28T16:32:53.518-08:00 Los_Angeles,,,,,,,,Exhaust Fan Speed,,AI2706,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,✓,,,,,,@p:ubcv:r:24423d81-5e5a6858 (.+_)?EF\d_F\d_SPD_FB(_TL)?,✓,,,,EF1_F2_SPD_FB_TL,,Los_Angeles,%,,,,,,,,,,2020-04-09T19:02:33.794Z UTC,Pharmacy LEF-1 EF-1B,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-1 EF-1B Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF1_F2_SPD_FB%,Pharmacy LEF-1 EF-1B Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF1_F2_SPD_FB%
2319,@p:ubcv:r:236c8ae6-cd55a30a Pharmacy Unsorted Points SMK_START_SMOKE_EF_GV,,,,,,"@p:ubcv:r:236bb200-e9f2ed59 PHARMA PHARM_AHU10_13_EF4,EF17_19 (700600)",,TL133,,✓,SMK_START_SMOKE_EF_GV,,,,,,,,,"@p:ubcv:r:236bb200-e9f2ed59 PHARMA PHARM_AHU10_13_EF4,EF17_19 (700600)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,"OFF,ON",,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,2019-06-12T22:09:52-07:00 Los_Angeles,,,,8.0,2019-06-12T21:48:05-07:00 Los_Angeles,ok,,,,Bool,2020-06-05T08:46:31.868-07:00 Los_Angeles,2018-11-28T16:33:01.237-08:00 Los_Angeles,,,,,,,,SMK_START_SMOKE_EF_GV,✓,BV63,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,SMK_START_SMOKE_EF_GV_TL,,Los_Angeles,,,,,,,,,,,2020-04-09T19:16:26.217Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points SMK_START_SMOKE_EF_GV Pharmacy SMK_START_SMOKE_EF_GV,Pharmacy Unsorted Points Pharmacy Unsorted Points SMK_START_SMOKE_EF_GV Pharmacy SMK_START_SMOKE_EF_GV
2380,@p:ubcv:r:236c8ab6-25a9a615 Pharmacy LEF-3 EF-3C EF3_F3_SPD_FB,,,✓,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,TL232,,✓,EF3_F3_SPD_FB,,,,,,,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354342-bf0f8c6e Pharmacy LEF-3 EF-3C,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-05T08:43:20-07:00 Los_Angeles,,,,56146.0,2018-10-29T08:01:20-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:18.56-07:00 Los_Angeles,2018-11-28T16:32:58.822-08:00 Los_Angeles,,,,,,,,Exhaust Fan Speed,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,✓,,,,,,@p:ubcv:r:24423d81-5e5a6858 (.+_)?EF\d_F\d_SPD_FB(_TL)?,,,,,EF3_F3_SPD_FB_POLL_TL,,Los_Angeles,%,,,,,,,,,,2020-05-02T12:14:31.764Z UTC,Pharmacy LEF-3 EF-3C,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-3 EF-3C Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF3_F3_SPD_FB%,Pharmacy LEF-3 EF-3C Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF3_F3_SPD_FB%
2429,@p:ubcv:r:236c8a6b-72b94b9f Pharmacy LEF-1 EF-1B EF1_F2_SPD,,,✓,,,"@p:ubcv:r:236bb200-176f7cdc PHARMA PHARM_AHU16~18,EF1 (701500)",,TL14,,✓,EF1_F2_SPD,,,,,,✓,,,"@p:ubcv:r:236bb200-176f7cdc PHARMA PHARM_AHU16~18,EF1 (701500)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354341-2df19d70 Pharmacy LEF-1 EF-1B,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-01-08T11:55:08-08:00 Los_Angeles,,,,208.0,2018-11-18T22:27:21-08:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:16.673-07:00 Los_Angeles,2018-11-28T16:32:55.82-08:00 Los_Angeles,,,,,,,,Exhaust Fan Speed Cmd,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,✓,,,,,,@p:ubcv:r:245ce733-3ddc740a (.+_)?EF\d_F\d_SPD(_CMD)?(_TL)?,✓,,,,EF1_F2_SPD_TL,,Los_Angeles,%,,,,,,,,,,2020-04-09T19:02:33.917Z UTC,Pharmacy LEF-1 EF-1B,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-1 EF-1B Pharmacy Air Systems Exhaust Fan Speed Cmd Pharmacy EF1_F2_SPD%,Pharmacy LEF-1 EF-1B Pharmacy Air Systems Exhaust Fan Speed Cmd Pharmacy EF1_F2_SPD%
2446,@p:ubcv:r:236c8b3c-72bba0aa Pharmacy Unsorted Points LTG_RLY10,,,,,,@p:ubcv:r:236bb496-1077283c PHARMA PHARM_LTG_LVL6_WEST RM6107 (700527),,TL10,,✓,LTG_RLY10,,,,,,,,,@p:ubcv:r:236bb496-1077283c PHARMA PHARM_LTG_LVL6_WEST RM6107 (700527),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:55:44.923-07:00 Los_Angeles,2018-11-28T16:32:47.244-08:00 Los_Angeles,,,,,,,,LTG_RLY10,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY10_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:36.815Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY10 Pharmacy LTG_RLY10,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY10 Pharmacy LTG_RLY10
2577,@p:ubcv:r:236c8a57-ac9d7f68 Pharmacy LEF-2 EF-2B EF2_F2_SPD,,,✓,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,TL2,,✓,EF2_F2_SPD,,,,,,✓,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354341-5f3c1eb8 Pharmacy LEF-2 EF-2B,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-02-20T08:08:16-08:00 Los_Angeles,,,,121.0,2018-11-23T17:17:10-08:00 Los_Angeles,ok,,,,Number,2020-06-05T08:51:53.311-07:00 Los_Angeles,2018-11-28T16:32:28.215-08:00 Los_Angeles,,,,,,,,Exhaust Fan Speed Cmd,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,✓,,,,,,@p:ubcv:r:245ce733-3ddc740a (.+_)?EF\d_F\d_SPD(_CMD)?(_TL)?,,,,,EF2_F2_SPD_TL,,Los_Angeles,%,,,,,,,,,,2020-04-09T19:02:34.022Z UTC,Pharmacy LEF-2 EF-2B,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-2 EF-2B Pharmacy Air Systems Exhaust Fan Speed Cmd Pharmacy EF2_F2_SPD%,Pharmacy LEF-2 EF-2B Pharmacy Air Systems Exhaust Fan Speed Cmd Pharmacy EF2_F2_SPD%
2661,@p:ubcv:r:260e090e-bf452a6c Pharmacy Rm 4303 VAV-4S045 VAV_4S045_CO2-1,,,✓,,,@p:ubcv:r:2391a8f6-efebd951 PHARMA PHARM_VAV_4S045-CO2 (701343),,TL7,,,VAV_4S045_CO2-1,,,,,,,✓,,@p:ubcv:r:2391a8f6-efebd951 PHARMA PHARM_VAV_4S045-CO2 (701343),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24353a1e-8bb02138 Pharmacy Rm 4303 VAV-4S045,✓,,,,,,,@p:ubcv:r:24353a1e-d9a2c42d Pharmacy Floor 4,,,,,✓,,,,2020-06-05T08:45:00-07:00 Los_Angeles,,,,7124.0,2020-03-23T15:00:00-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:49:51.505-07:00 Los_Angeles,,,,,,,,,Zone Co2,,AI101,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:23e65d0f-a2d8d959 .+_CO2(\(RM\d+[A-Z]\))?(-\d)?(_TL)?,,,,,VAV_4S045_CO2-1_TL,,Los_Angeles,ppm,,,,,,,,,✓,2020-04-09T19:02:33.441Z UTC,Pharmacy Rm 4303 VAV-4S045,Pharmacy Floor 4,Pharmacy,Pharmacy Rm 4303 VAV-4S045 Pharmacy Floor 4 Zone Co2 Pharmacy VAV_4S045_CO2-1ppm,Pharmacy Rm 4303 VAV-4S045 Pharmacy Floor 4 Zone Co2 Pharmacy VAV_4S045_CO2-1ppm
2700,@p:ubcv:r:236c8b3c-e6508982 Pharmacy Unsorted Points LTG_RLY8,,,,,,@p:ubcv:r:236bb496-1077283c PHARMA PHARM_LTG_LVL6_WEST RM6107 (700527),,TL8,,✓,LTG_RLY8,,,,,,,,,@p:ubcv:r:236bb496-1077283c PHARMA PHARM_LTG_LVL6_WEST RM6107 (700527),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:55:44.712-07:00 Los_Angeles,2018-11-28T16:32:36.092-08:00 Los_Angeles,,,,,,,,LTG_RLY8,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY8_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:37.272Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY8 Pharmacy LTG_RLY8,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY8 Pharmacy LTG_RLY8
2741,@p:ubcv:r:2391c93f-dd6700bf Pharmacy Rm 4303 VAV-4S045 VAV_4S045_CO2-1,,,✓,,,@p:ubcv:r:2391a8f6-efebd951 PHARMA PHARM_VAV_4S045-CO2 (701343),,,,✓,VAV_4S045_CO2-1,,,,,,,✓,,@p:ubcv:r:2391a8f6-efebd951 PHARMA PHARM_VAV_4S045-CO2 (701343),,,,,,,,,,,,,,,$equipRef $bmsName,✓,,,,,,,,,,,@p:ubcv:r:24353a1e-8bb02138 Pharmacy Rm 4303 VAV-4S045,✓,,,,,,,@p:ubcv:r:24353a1e-d9a2c42d Pharmacy Floor 4,,,,,✓,,,,2020-03-25T05:15:00-07:00 Los_Angeles,,,,69408.0,2018-11-27T05:20:00-08:00 Los_Angeles,,,,,Number,,2018-11-28T16:32:50.453-08:00 Los_Angeles,,,,,,,,Zone Co2,,AI2,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,VAV_4S045_CO2-1_TL,,Los_Angeles,ppm,,,,,,,,,✓,2020-03-25T12:20:38.426Z UTC,Pharmacy Rm 4303 VAV-4S045,Pharmacy Floor 4,Pharmacy,Pharmacy Rm 4303 VAV-4S045 Pharmacy Floor 4 Zone Co2 Pharmacy VAV_4S045_CO2-1ppm,Pharmacy Rm 4303 VAV-4S045 Pharmacy Floor 4 Zone Co2 Pharmacy VAV_4S045_CO2-1ppm
