,index,id,groupRefclean,equipRefclean,siteRef,navName_x,bmsName,unit_x,kind,0
27,36,@p:ubcv:r:2391be74-e1a20621 Pharmacy Rm Corr FC-608 FCU_608_HCV,Pharmacy Floor 6,Pharmacy Rm Corr FC-608,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Heating Valve Cmd,FCU_608_HCV,%,Number,
28,38,@p:ubcv:r:236c89f1-5a5b4044 Pharmacy Rm B503 EAV-BE091 BE091_SASH_OPEN_PERCENT,Pharmacy Floor 0,Pharmacy Rm B503 EAV-BE091,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BE091_SASH_OPEN_PERCENT,BE091_SASH_OPEN_PERCENT,%,Number,
29,41,@p:ubcv:r:2391c901-f966e36f Pharmacy Rm 4521 RAD-4-05 RZ4_05_HCV,Pharmacy Floor 4,Pharmacy Rm 4521 RAD-4-05,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Heating Valve Cmd,RZ4_05_HCV,%,Number,
30,42,@p:ubcv:r:236c8f9b-d935eae3 Pharmacy Rm 3122 VAV-3S001 VAV_3S001_DMP,Pharmacy Floor 3,Pharmacy Rm 3122 VAV-3S001,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Damper Cmd,VAV_3S001_DMP,%,Number,
31,43,@p:ubcv:r:2391c8b2-fd7f3177 Pharmacy Rm 4606 RAD-4-11 RZ4_11_RT,Pharmacy Floor 4,Pharmacy Rm 4606 RAD-4-11,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,RZ4_11_RT,°C,Number,
32,45,@p:ubcv:r:236c89e6-e72a6b74 Pharmacy Rm B502 EAV-BS036 BS036_FLOW_FB(L/S),Pharmacy Floor 0,Pharmacy Rm B502 EAV-BS036,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Flow,BS036_FLOW_FB(L/S),L/s,Number,
33,46,@p:ubcv:r:20d5daa9-d7883b0c Pharmacy AHU-07 AHU7_HCV,Pharmacy Air Systems,Pharmacy AHU-07,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Heating Valve Cmd,AHU7_HCV,%,Number,
34,47,@p:ubcv:r:236c9050-9ba5784d Pharmacy AHU-19 SF AHU19_SPD,Pharmacy Air Systems,Pharmacy AHU-19 SF,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Fan Speed Cmd,AHU19_SPD,%,Number,
35,48,@p:ubcv:r:236c8a02-00cf78db Pharmacy Rm 5302 EAV-5E056 5E056_JAM_ALARM_BV,Pharmacy Floor 5,Pharmacy Rm 5302 EAV-5E056,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Flow Alarm,5E056_JAM_ALARM_BV,,Bool,
36,49,@p:ubcv:r:236c89f1-19831a9f Pharmacy Rm 5302a VAV-5S058 5S058_5E022_AVG_SPACE_TEMP_AV,Pharmacy Floor 5,Pharmacy Rm 5302a VAV-5S058,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,5S058_5E022_AVG_SPACE_TEMP_AV,°C,Number,
37,50,@p:ubcv:r:236c8fd5-fb51f5cc Pharmacy AHU-08 SF AHU8_SPD_FB,Pharmacy Air Systems,Pharmacy AHU-08 SF,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Fan Speed Feedback,AHU8_SPD_FB,%,Number,
38,52,@p:ubcv:r:2391bcd6-e4f9df52 Pharmacy Rm 3202 VAV-3S017 VAV_3S017_RT_SP,Pharmacy Floor 3,Pharmacy Rm 3202 VAV-3S017,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp Effective Sp,VAV_3S017_RT_SP,°C,Number,
39,53,@p:ubcv:r:2391c5dd-28813884 Pharmacy Rm 3325 VAV-3S046 VAV_3S046_FLW,Pharmacy Floor 3,Pharmacy Rm 3325 VAV-3S046,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Flow,VAV_3S046_FLW,L/s,Number,
40,54,@p:ubcv:r:236c8a84-404ad6cb Pharmacy Water Submeters WM-9 WM9_BLDG_DAY,Pharmacy Utilities,Pharmacy Water Submeters WM-9,@p:ubcv:r:20545206-9300bfc5 Pharmacy,WM9_BLDG_DAY,WM9_BLDG_DAY,L,Number,
41,56,@p:ubcv:r:236c8a08-21277697 Pharmacy Cooling Plant CH-2 CHLR_CH2_CURR_LIMIT,Pharmacy Hydronic Systems,Pharmacy Cooling Plant CH-2,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CHLR_CH2_CURR_LIMIT,CHLR_CH2_CURR_LIMIT,%,Number,
42,57,@p:ubcv:r:236c89db-6fac98f3 Pharmacy Rm B311b EAV-BS064 BS064_ROOM_DIFF_AFLW,Pharmacy Floor 0,Pharmacy Rm B311b EAV-BS064,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS064_ROOM_DIFF_AFLW,BS064_ROOM_DIFF_AFLW,L/s,Number,
43,58,@p:ubcv:r:236c8feb-f07d0a76 Pharmacy Heating Plant P-4B HTREJ_P4B_VFD_HZ_FB,Pharmacy Hydronic Systems,Pharmacy Heating Plant P-4B,@p:ubcv:r:20545206-9300bfc5 Pharmacy,HTREJ_P4B_VFD_HZ_FB,HTREJ_P4B_VFD_HZ_FB,Hz,Number,
44,59,@p:ubcv:r:236c8a02-08977bf5 Pharmacy Rm B503 EAV-BS048 BS048_FLOW_ALARM_BV,Pharmacy Floor 0,Pharmacy Rm B503 EAV-BS048,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Flow Alarm,BS048_FLOW_ALARM_BV,,Bool,
45,60,@p:ubcv:r:236c8a39-00fb9fe8 Pharmacy Elec Submeters LEED-6NRMW1 6NRMW1_EnergyPosSumNR,Pharmacy Utilities,Pharmacy Elec Submeters LEED-6NRMW1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6NRMW1_EnergyPosSumNR,6NRMW1_EnergyPosSumNR,kWh,Number,
46,61,@p:ubcv:r:2391c9b5-6cecde81 Pharmacy Rm Corr FC-510 FCU_510_S,Pharmacy Floor 5,Pharmacy Rm Corr FC-510,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Fan Run ,FCU_510_S,A,Number,
47,62,@p:ubcv:r:2391bc41-b879f64d Pharmacy Rm 2213 FC-302 FCU_302_NSB_CLG_BV,Pharmacy Floor 3,Pharmacy Rm 2213 FC-302,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_302_NSB_CLG_BV,FCU_302_NSB_CLG_BV,,Bool,
48,63,@p:ubcv:r:236c8a1d-aee1e972 Pharmacy Elec Submeters LEED-6SRMC1 6SRMC1_CurrentB,Pharmacy Utilities,Pharmacy Elec Submeters LEED-6SRMC1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Current B,6SRMC1_CurrentB,A,Number,
49,65,@p:ubcv:r:236c8fec-53ccb1e9 Pharmacy CRAH System CRAH-7 CRAH7_CHWV_POS,Pharmacy Hydronic Systems,Pharmacy CRAH System CRAH-7,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CRAH7_CHWV_POS,CRAH7_CHWV_POS,%,Number,
50,66,@p:ubcv:r:236c8a40-64660df5 Pharmacy Rm B407a EAV-BS062 BS062_OCCUPANCY_CMD_BV,Pharmacy Floor 0,Pharmacy Rm B407a EAV-BS062,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS062_OCCUPANCY_CMD_BV,BS062_OCCUPANCY_CMD_BV,,Bool,
51,67,@p:ubcv:r:236c8cae-ed8779c6 Pharmacy Rm 5116 VAV-5S016 VAV_5S016_CO2_SP,Pharmacy Floor 5,Pharmacy Rm 5116 VAV-5S016,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Co2 Sp,VAV_5S016_CO2_SP,ppm,Number,
52,68,@p:ubcv:r:236c8a57-54f60b44 Pharmacy Unsorted Points SMOKE_EF_15_FAIL_AL_BV,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Alarm,SMOKE_EF_15_FAIL_AL_BV,,Bool,
53,69,@p:ubcv:r:2391c44a-e07ff2ab Pharmacy Rm 2313 VAV-2S006 VAV_2S006_DP,Pharmacy Floor 2,Pharmacy Rm 2313 VAV-2S006,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Differential Pressure,VAV_2S006_DP,Pa,Number,
54,70,@p:ubcv:r:236c89d6-0d88c230 Pharmacy Rm 5206c VAV-5S023 5S023_VLV_FLOW_FDBK_AV,Pharmacy Floor 5,Pharmacy Rm 5206c VAV-5S023,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Flow,5S023_VLV_FLOW_FDBK_AV,L/s,Number,
55,71,@p:ubcv:r:236c8a38-50a6766f Pharmacy Elec Submeters LEED-6ETLC1 6ETLC1_CurrentB,Pharmacy Utilities,Pharmacy Elec Submeters LEED-6ETLC1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Current B,6ETLC1_CurrentB,A,Number,
56,72,@p:ubcv:r:236c89f0-32fc27e5 Pharmacy Rm 6308 EAV-6E067 6E067_VLV_FLOW_FDBK_AV,Pharmacy Floor 6,Pharmacy Rm 6308 EAV-6E067,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Air Flow,6E067_VLV_FLOW_FDBK_AV,L/s,Number,
57,73,@p:ubcv:r:236c89f0-9dfd04d8 Pharmacy Rm 5202 EAV-5E044 5E044_VLV_FLOW_FDBK_AV,Pharmacy Floor 5,Pharmacy Rm 5202 EAV-5E044,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Air Flow,5E044_VLV_FLOW_FDBK_AV,L/s,Number,
58,74,@p:ubcv:r:236c89e7-01b8a67a Pharmacy Rm B606b EAV-BS044 BS044_EXH_JAM_AL_BV,Pharmacy Floor 0,Pharmacy Rm B606b EAV-BS044,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Alarm,BS044_EXH_JAM_AL_BV,,Bool,
59,75,@p:ubcv:r:236c8f02-211ae17e Pharmacy Rm 3110 VAV-3S019 VAV_3S019_FLW,Pharmacy Floor 3,Pharmacy Rm 3110 VAV-3S019,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Flow,VAV_3S019_FLW,L/s,Number,
60,76,@p:ubcv:r:236c8acd-8214c9e5 Pharmacy Unsorted Points DHW82_PS,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,DHW82_PS,DHW82_PS,A,Number,
61,77,@p:ubcv:r:236c89f1-1f691b65 Pharmacy Rm 5202 VAV-5S038 5S038_AVG_SPACE_TEMP_AV,Pharmacy Floor 5,Pharmacy Rm 5202 VAV-5S038,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,5S038_AVG_SPACE_TEMP_AV,°C,Number,
62,78,@p:ubcv:r:236c8acd-a53de39f Pharmacy Heating Plant HX-1 P-HX1B HX1_PHX1B_AL,Pharmacy Hydronic Systems,Pharmacy Heating Plant HX-1 P-HX1B,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Alarm,HX1_PHX1B_AL,,Bool,
63,79,@p:ubcv:r:20d5db0d-3e63d332 Pharmacy AHU-07 AHU7_CHWST,Pharmacy Air Systems,Pharmacy AHU-07,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Leaving Chilled Water Temp,AHU7_CHWST,°C,Number,
64,80,@p:ubcv:r:236c8ab7-d6ba2e61 Pharmacy AHU-15 AHU15_FZ,Pharmacy Air Systems,Pharmacy AHU-15,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU15_FZ,AHU15_FZ,,Bool,
65,81,@p:ubcv:r:236c8fec-337953df Pharmacy Heating Plant HX-3 HX3_PHX3AB_DP,Pharmacy Hydronic Systems,Pharmacy Heating Plant HX-3,@p:ubcv:r:20545206-9300bfc5 Pharmacy,HX3_PHX3AB_DP,HX3_PHX3AB_DP,kPa,Number,
66,82,@p:ubcv:r:236c89f8-df86db81 Pharmacy Rm 6206b VAV-6S019 6S019_6E021_EXH_JAM_ALARM_BV,Pharmacy Floor 6,Pharmacy Rm 6206b VAV-6S019,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Air Flow Alarm,6S019_6E021_EXH_JAM_ALARM_BV,,Bool,
67,83,@p:ubcv:r:2391bd1b-bb8d593c Pharmacy Rm 3202 VAV-3S015 VAV_3S015_FLW_SP,Pharmacy Floor 3,Pharmacy Rm 3202 VAV-3S015,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Flow Sp,VAV_3S015_FLW_SP,L/s,Number,
68,84,@p:ubcv:r:236c8a03-aa58aa21 Pharmacy Rm 5206 EAV-5E046 5E046_JAM_ALARM_BV,Pharmacy Floor 5,Pharmacy Rm 5206 EAV-5E046,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Flow Alarm,5E046_JAM_ALARM_BV,,Bool,
69,89,@p:ubcv:r:2391be93-f35d2a54 Pharmacy Unsorted Points INCU_AL_6203F,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,INCU_AL_6203F,INCU_AL_6203F,,Bool,
70,90,@p:ubcv:r:2391be74-1e442c1f Pharmacy Rm Corr FC-608 FCU_608_NSB_HTG_BV,Pharmacy Floor 6,Pharmacy Rm Corr FC-608,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_608_NSB_HTG_BV,FCU_608_NSB_HTG_BV,,Bool,
71,91,@p:ubcv:r:236c89f0-6784638e Pharmacy Rm 5202 EAV-5E065 5E065_VLV_FLOW_FDBK_HILIM_SP,Pharmacy Floor 5,Pharmacy Rm 5202 EAV-5E065,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Air Flow High Lim Sp,5E065_VLV_FLOW_FDBK_HILIM_SP,L/s,Number,
72,92,@p:ubcv:r:2391bc52-714a44b4 Pharmacy Rm Corr FC-308 FCU_308_RT_SP,Pharmacy Floor 3,Pharmacy Rm Corr FC-308,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp Effective Sp,FCU_308_RT_SP,°C,Number,
73,93,@p:ubcv:r:236c8a6c-0df94a60 Pharmacy Unsorted Points AHU16/17_MAX_SPACE_CO2_SP,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone CO2 Sp,AHU16/17_MAX_SPACE_CO2_SP,ppm,Number,
74,94,@p:ubcv:r:236c8fec-b07c9472 Pharmacy CRAH System CRAH-4 CRAH4_CHWV_POS,Pharmacy Hydronic Systems,Pharmacy CRAH System CRAH-4,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CRAH4_CHWV_POS,CRAH4_CHWV_POS,%,Number,
75,95,@p:ubcv:r:2391c0fc-dd61f930 Pharmacy Rm Reception FC-108 FCU_108_NSB_HTG_BV,Pharmacy Floor 1,Pharmacy Rm Reception FC-108,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_108_NSB_HTG_BV,FCU_108_NSB_HTG_BV,,Bool,
76,96,@p:ubcv:r:236c8a03-86fa7da4 Pharmacy Rm B602 EAV-BS017 BS017_JAM_ALARM_BV,Pharmacy Floor 0,Pharmacy Rm B602 EAV-BS017,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Flow Alarm,BS017_JAM_ALARM_BV,,Bool,
77,97,@p:ubcv:r:236c89f9-3eb641ec Pharmacy Rm 6206d VAV-6S021 6S021_6E025_SUP_JAM_ALARM_BV,Pharmacy Floor 6,Pharmacy Rm 6206d VAV-6S021,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Flow Alarm,6S021_6E025_SUP_JAM_ALARM_BV,,Bool,
78,99,@p:ubcv:r:236c8a57-f3a170c5 Pharmacy Unsorted Points EAST_ROOF_CP1500_1600_UPS_AL,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EAST_ROOF_CP1500_1600_UPS_AL,EAST_ROOF_CP1500_1600_UPS_AL,,Bool,
79,100,@p:ubcv:r:236c8e96-c59452d8 Pharmacy VAV-3S030A VAV_3S030A_CO2_SP,Pharmacy Floor 3,Pharmacy VAV-3S030A,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Co2 Sp,VAV_3S030A_CO2_SP,ppm,Number,
80,101,@p:ubcv:r:2391bfd3-2d6e302c Pharmacy Rm 1010 RAD-1-05 RZ1_05_SLAB_SP,Pharmacy Floor 1,Pharmacy Rm 1010 RAD-1-05,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp Sp,RZ1_05_SLAB_SP,°C,Number,
81,102,@p:ubcv:r:20d5d0ed-b99c528e Pharmacy AHU-06 AHU6_AVG_RT,Pharmacy Air Systems,Pharmacy AHU-06,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,AHU6_AVG_RT,°C,Number,
82,103,@p:ubcv:r:236c9051-3859acb3 Pharmacy AHU-20 AHU20_SF_VFD_PWR(kWh),Pharmacy Air Systems,Pharmacy AHU-20,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Energy,AHU20_SF_VFD_PWR(kWh),_,Number,
83,104,@p:ubcv:r:236c8a03-6f6d79fa Pharmacy Rm 5310 EAV-5E060 5E060_JAM_ALARM_BV,Pharmacy Floor 5,Pharmacy Rm 5310 EAV-5E060,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Flow Alarm,5E060_JAM_ALARM_BV,,Bool,
84,105,@p:ubcv:r:236c8a98-56a75460 Pharmacy AHU-02 AHU2_PRES_SP,Pharmacy Air Systems,Pharmacy AHU-02,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Pressure Sp,AHU2_PRES_SP,Pa,Number,
85,107,@p:ubcv:r:236c8c5b-70f42861 Pharmacy Windows L5_W_RT_MUX,Pharmacy Floor 5,Pharmacy Windows,@p:ubcv:r:20545206-9300bfc5 Pharmacy,L5_W_RT_MUX,L5_W_RT_MUX,°C,Number,
86,108,@p:ubcv:r:236c89f1-4904c46e Pharmacy Rm 6305 EAV-6E048 6E048_SASH_OPEN_PERCENT,Pharmacy Floor 6,Pharmacy Rm 6305 EAV-6E048,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6E048_SASH_OPEN_PERCENT,6E048_SASH_OPEN_PERCENT,%,Number,
87,109,@p:ubcv:r:236c89f0-e8804911 Pharmacy Rm 6305a VAV-6S038 6S038_6E046_AVG_SPACE_TEMP_AV,Pharmacy Floor 6,Pharmacy Rm 6305a VAV-6S038,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,6S038_6E046_AVG_SPACE_TEMP_AV,°C,Number,
88,112,@p:ubcv:r:236c89f1-d5dd9131 Pharmacy Unsorted Points BE021B_VLV_FLOW_FDBK_HILIM_SP,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BE021B_VLV_FLOW_FDBK_HILIM_SP,BE021B_VLV_FLOW_FDBK_HILIM_SP,L/s,Number,
89,113,@p:ubcv:r:236c8acd-1f7fa397 Pharmacy Cooling Plant CT_ SPEED_CO,Pharmacy Hydronic Systems,Pharmacy Cooling Plant,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CT_ SPEED_CO,CT_ SPEED_CO,_,Number,
90,115,@p:ubcv:r:236c89e6-c8057be4 Pharmacy Rm B504 EAV-BS037 BS037_PRIMARY_ACH_SP,Pharmacy Floor 0,Pharmacy Rm B504 EAV-BS037,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS037_PRIMARY_ACH_SP,BS037_PRIMARY_ACH_SP,_,Number,
